Unnamed: 0,meshcode,linkno,orflg,signcnt,signno,maxspeed,signkeido,signido,signpos,variable,existroad,exlinkno,geometry,Longitude,Latitude,X1,Y1
20,Z513243,19666,1,2,1,60,476844369,123680698,0,0,0,0,,132.45676916666667,34.35574944444444,4319.705714328447,-2431.918347680592
21,Z513243,19666,1,2,2,60,476873472,123676636,0,0,0,0,,132.46485333333334,34.35462111111111,5057.382154990686,-2601.8140872879885
22,Z513243,19667,1,2,1,60,476929900,123686015,0,0,0,0,,132.48052777777778,34.35722638888889,6519.414779875777,-2398.350410144223
23,Z513243,19667,1,2,2,60,476967580,123684360,0,0,0,0,,132.49099444444445,34.356766666666665,7481.112098046346,-2506.8066104016907
24,Z513243,19669,1,1,1,50,476990244,123677777,0,0,0,0,,132.49729,34.35493805555556,8049.325167087722,-2744.492017888988
25,Z513243,19676,1,1,1,40,476991906,123705748,0,0,0,0,,132.49775166666666,34.36270777777778,8143.122465192806,-1883.4920578502642
26,Z513243,19693,1,1,1,40,476680231,123753848,0,0,0,0,,132.41117527777777,34.37606888888889,253.00309146509971,78.55887377227191
27,Z513243,19707,1,1,1,40,476980702,123760440,0,0,0,0,,132.49463944444443,34.3779,7956.563333422528,-178.00114650078467
28,Z513243,19754,1,1,1,60,476910308,123685318,0,0,0,0,,132.47508555555555,34.357032777777775,6016.510371346842,-2390.002634089178
29,Z513243,19755,1,1,1,60,476967043,123685090,0,0,0,0,,132.49084527777777,34.356969444444445,7468.701965376153,-2483.4530399926007
30,Z513243,19756,1,1,1,50,476977708,123685163,0,0,0,0,,132.4938077777778,34.356989722222224,7741.894720527809,-2497.417361536296
31,Z513243,19780,1,1,1,40,476673378,123751680,16,0,0,0,,132.40927166666665,34.37546666666667,73.54183486651164,22.19209117864375
32,Z513243,19789,1,1,1,40,476980822,123761262,0,0,0,0,,132.49467277777777,34.378128333333336,7961.142395129427,-152.80665226231213
33,Z513243,19825,1,1,1,60,476905744,123682406,1,0,0,0,,132.47381777777778,34.35622388888889,5894.2996294434415,-2472.9425297573325
34,Z513243,19897,1,1,1,40,476990921,123690003,0,0,1,19588,,132.49747805555555,34.358334166666666,8089.057153567788,-2368.077563303901
35,Z513243,19965,1,1,1,40,476989397,123695990,0,0,1,19062,,132.49705472222223,34.35999722222222,8061.0082892467035,-2180.930264773662
36,Z513243,19981,1,1,1,40,476679460,123752458,0,0,0,0,,132.4109611111111,34.375682777777776,230.68154474184848,36.83289648947539
37,Z513243,20044,1,1,1,60,476723488,123741938,0,0,0,0,,132.42319111111112,34.37276055555556,1338.2218624795787,-355.7759405186225
