,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
500,513253,0,2068,3870,4033,1,0,476871545,124053454,476871522,124053459,
501,513253,0,2068,2071,8366,1,0,476871422,124053787,476871290,124053813,
502,513253,0,2072,3302,1187,1,0,476891184,123933899,476891114,123933645,
503,513253,0,2072,3302,1187,2,0,476891184,123933899,476891093,123934266,
504,513253,0,2074,8962,11089,1,0,476897607,123933566,476897654,123933606,
505,513253,0,2075,2084,6706,1,0,476898425,123932632,476898470,123932636,
506,513253,0,2075,2083,8678,1,0,476897975,123932732,476897853,123932660,
507,513253,0,2079,4218,8664,1,0,476892534,123923267,476892476,123923556,
508,513253,0,2093,2103,8693,1,0,476942234,123960565,476942349,123960561,
509,513253,0,2093,815,8694,1,0,476941743,123960665,476941622,123960595,
510,513253,0,2094,10083,12947,1,0,476942766,123958065,476942617,123958000,
511,513253,0,2100,5310,3433,1,0,476939206,123956998,476939635,123957105,
512,513253,0,2100,4999,4566,1,0,476938797,123956931,476938800,123956964,
513,513253,0,2103,2093,8693,1,0,476945996,123961831,476945915,123961795,
514,513253,0,2104,1328,6717,1,0,476946692,123960531,476946608,123960336,
515,513253,0,2104,1329,6718,1,0,476947101,123960498,476947262,123960501,
516,513253,0,2111,1348,8723,1,0,476988008,123944933,476987989,123944958,
517,513253,0,2113,1350,6726,1,0,476988417,123947500,476988259,123947884,
518,513253,0,2113,2115,6727,1,0,476988335,123947100,476988338,123947069,
519,513253,0,2114,2668,8725,1,0,476989767,123947867,476989613,123948239,
520,513253,0,2114,11289,14904,1,0,476989685,123947467,476989684,123947436,
521,513253,0,2116,1356,6729,1,0,476983877,123930768,476983743,123931072,
522,513253,0,2116,2118,6730,1,0,476983673,123930468,476983688,123930457,
523,513253,0,2117,4900,3392,1,0,476985759,123931134,476985695,123931385,
524,513253,0,2117,4290,4374,1,0,476985595,123930834,476985602,123930816,
525,513253,0,2119,1357,6731,1,0,476987723,123931401,476987655,123931622,
526,513253,0,2119,2120,6732,1,0,476987641,123931101,476987655,123931063,
527,513253,0,2121,4252,4350,1,0,476962893,123929801,476962585,123929756,
528,513253,0,2122,4250,2451,1,0,476965961,123926501,476966007,123926591,
529,513253,0,2124,2128,4357,1,0,476972301,123934868,476971530,123934348,
530,513253,0,2125,1363,6744,1,0,476969110,123928768,476969238,123928741,
531,513253,0,2125,4253,8698,1,0,476969274,123929201,476968882,123929432,
532,513253,0,2126,4251,2449,1,0,476967924,123928301,476967731,123928430,
533,513253,0,2127,1361,6741,1,0,476973487,123930301,476973350,123930383,
534,513253,0,2129,1359,6742,1,0,476966001,123932301,476965837,123932411,
535,513253,0,2129,2130,6743,1,0,476965919,123931934,476966045,123931903,
536,513253,0,2130,2128,4356,1,0,476967269,123931101,476967304,123931168,
537,513253,0,2132,8674,10520,1,0,476985719,123917870,476985724,123917848,
538,513253,0,2136,1384,6752,1,0,476804749,123945430,476804777,123945432,
539,513253,0,2139,4141,8620,1,0,476801477,123949763,476801463,123949755,
540,513253,0,2139,7107,9946,1,0,476801763,123949629,476801834,123949759,
541,513253,0,2146,4162,8631,1,0,476824671,123929198,476824928,123929192,
542,513253,0,2148,7089,9928,1,0,476796855,123947196,476796850,123947226,
543,513253,0,2149,7091,5555,1,0,476798000,123947196,476797847,123947334,
544,513253,0,2168,1412,6770,1,0,476835264,123957729,476834797,123957884,
545,513253,0,2168,1413,8594,1,0,476835510,123957396,476835641,123957399,
546,513253,0,2170,2171,6772,1,0,476843486,123960229,476843483,123960259,
547,513253,0,2170,4118,8599,1,0,476843037,123959963,476843082,123959899,
548,513253,0,2175,2179,987,1,0,476839644,123914433,476839698,123914524,
549,513253,0,2175,2176,6776,1,0,476839398,123914267,476839583,123914186,
550,513253,0,2175,6478,9667,1,0,476838907,123914767,476838786,123914729,
551,513253,0,2177,2212,6804,1,0,476841812,123913567,476841914,123913399,
552,513253,0,2178,1431,6809,1,0,476844962,123913100,476845234,123913511,
553,513253,0,2180,6487,993,1,0,476843529,123919133,476843561,123919198,
554,513253,0,2181,2182,6778,1,0,476845779,123922399,476845878,123922484,
555,513253,0,2182,4582,8839,1,0,476847947,123923899,476847948,123923946,
556,513253,0,2183,1429,8740,1,0,476852488,123923999,476852534,123924113,
557,513253,0,2186,6462,9656,1,0,476860996,123919533,476861209,123919309,
558,513253,0,2187,2201,8656,1,0,476859605,123917867,476859536,123917893,
