,meshcode,nodeno,stotlinkno,ttoelinkno,snodeno,enodeno,geometry
306,513253,233,542,541,7298,7293,
307,513253,235,545,535,7308,7265,
308,513253,235,535,545,7265,7308,
309,513253,235,1232,535,3559,7265,
310,513253,236,536,546,7265,7311,
311,513253,236,546,536,7311,7265,
312,513253,236,2245,2837,3560,7310,
313,513253,236,2837,2245,7310,3560,
314,513253,238,296,10969,237,8976,
315,513253,238,10969,296,8976,237,
316,513253,239,525,10965,7197,8976,
317,513253,239,10965,525,8976,7197,
318,513253,241,515,297,7164,242,
319,513253,241,297,515,242,7164,
320,513253,242,297,338,241,243,
321,513253,242,338,297,243,241,
322,513253,243,497,338,6931,242,
323,513253,243,338,497,242,6931,
324,513253,243,1084,8837,978,4580,
325,513253,243,8837,1084,4580,978,
326,513253,244,298,349,245,3701,
327,513253,244,349,298,3701,245,
328,513253,246,860,936,711,6875,
329,513253,246,487,489,6873,6874,
330,513253,246,936,860,6875,711,
331,513253,246,10483,936,8628,6875,
332,513253,252,11252,465,6551,6536,
333,513253,252,1337,1067,527,890,
334,513253,252,1067,1337,890,527,
335,513253,252,10519,1067,8642,890,
336,513253,253,302,469,254,6548,
337,513253,256,14231,304,10852,255,
338,513253,257,305,480,259,6587,
339,513253,257,1243,1100,646,1812,
340,513253,257,1100,1243,1812,646,
341,513253,257,10502,1243,8634,646,
342,513253,261,437,13437,5180,10485,
343,513253,262,382,438,3260,5180,
344,513253,262,2306,2466,3699,4343,
345,513253,262,2466,2306,4343,3699,
346,513253,262,10451,2306,8613,3699,
347,513253,267,316,310,280,187,
348,513253,267,310,316,187,280,
349,513253,273,513,496,6974,6926,
350,513253,273,496,513,6926,6974,
351,513253,273,6206,9861,801,6897,
352,513253,274,624,11486,8517,7984,
353,513253,278,314,13035,277,10166,
354,513253,278,13035,314,10166,277,
355,513253,283,318,439,284,5187,
356,513253,283,439,318,5187,284,
357,513253,285,3092,1799,289,569,
358,513253,285,1681,1799,286,569,
359,513253,285,1799,3092,569,289,
360,513253,287,1945,2874,1183,7574,
361,513253,287,2874,1945,7574,1183,
362,513253,289,2870,3092,7560,285,
363,513253,289,3092,2870,285,7560,
364,513253,289,2873,3093,7564,663,
365,513253,289,3093,2873,663,7564,
366,513253,291,1734,1683,337,290,
367,513253,291,1683,1734,290,337,
368,513253,292,10662,2898,8757,7721,
369,513253,292,2898,10662,7721,8757,
370,513253,293,13286,599,10563,7965,
371,513253,293,599,13286,7965,10563,
372,513253,295,1561,10876,7477,8911,
373,513253,295,10876,1561,8911,7477,
374,513253,297,1054,1053,867,771,
375,513253,297,1053,1054,771,867,
376,513253,298,1741,1684,473,297,
377,513253,298,1684,1741,297,473,
378,513253,298,6989,6988,2419,1654,
379,513253,298,6988,6989,1654,2419,
380,513253,300,1026,6574,789,1964,
381,513253,300,6574,1026,1964,789,
382,513253,302,1027,6174,790,1224,
383,513253,302,6174,1027,1224,790,
384,513253,304,1218,1063,881,882,
385,513253,304,1063,1218,882,881,
386,513253,305,1687,1701,304,348,
387,513253,305,1701,1687,348,304,
388,513253,305,2208,6377,489,1679,
389,513253,305,6377,2208,1679,489,
390,513253,308,11437,932,9326,6812,
391,513253,308,932,11437,6812,9326,
392,513253,308,9824,1689,6813,309,
393,513253,308,1689,9824,309,6813,
394,513253,310,1938,1690,1726,311,
395,513253,310,1703,1755,354,493,
396,513253,310,1690,1938,311,1726,
397,513253,310,1755,1703,493,354,
398,513253,312,1691,7808,313,2529,
399,513253,312,772,12241,361,2687,
400,513253,312,12241,772,2687,361,
401,513253,312,7808,1691,2529,313,
402,513253,315,767,1693,316,317,
403,513253,315,1693,767,317,316,
404,513253,316,767,782,315,551,
405,513253,316,782,767,551,315,
406,513253,316,7150,782,1803,551,
407,513253,318,1694,2468,261,2689,
408,513253,318,2468,1694,2689,261,
409,513253,318,387,386,4345,4343,
410,513253,319,6425,1384,1767,5092,
411,513253,319,1384,6425,5092,1767,
412,513253,319,9097,2510,5093,4451,
413,513253,320,3280,2582,367,5091,
414,513253,320,779,795,419,618,
415,513253,320,795,779,618,419,
416,513253,320,2582,3280,5091,367,
417,513253,321,820,774,365,366,
418,513253,321,774,820,366,365,
419,513253,322,2728,1695,6223,321,
420,513253,322,1695,2728,321,6223,
421,513253,325,12913,1361,754,4678,
422,513253,325,1361,12913,4678,754,
423,513253,326,11405,11831,9176,10399,
424,513253,326,11831,11405,10399,9176,
425,513253,327,855,1861,694,731,
426,513253,327,1861,855,731,694,
427,513253,327,2765,855,6490,694,
428,513253,328,12644,2755,6483,6455,
429,513253,328,809,2755,753,6455,
430,513253,329,11681,2547,9392,4781,
431,513253,329,2547,11681,4781,9392,
432,513253,329,769,13224,330,10497,
433,513253,329,13224,1789,10497,555,
434,513253,329,1789,13224,555,10497,
435,513253,330,769,677,329,3829,
436,513253,330,677,769,3829,329,
437,513253,331,13364,901,10383,5334,
438,513253,331,770,983,4552,5336,
439,513253,331,901,13364,5334,10383,
440,513253,331,983,770,5336,4552,
441,513253,333,2437,9174,4244,5292,
442,513253,333,9174,2437,5292,4244,
443,513253,333,2565,1791,4999,560,
444,513253,333,1791,2565,560,4999,
445,513253,336,2875,2862,7574,7544,
446,513253,336,2862,2875,7544,7574,
447,513253,336,1104,6524,1918,1925,
448,513253,336,6524,1104,1925,1918,
449,513253,337,11259,1734,9134,291,
450,513253,337,1734,11259,291,9134,
451,513253,339,320,13490,570,10753,
452,513253,339,13490,320,10753,570,
453,513253,340,1698,1737,341,453,
454,513253,340,1737,1698,453,341,
455,513253,340,7258,1737,2673,453,
456,513253,342,1699,1740,343,464,
457,513253,342,1740,1699,464,343,
458,513253,342,1004,6344,472,1627,
459,513253,342,6344,1004,1627,472,
460,513253,344,1700,2356,345,3891,
461,513253,344,2356,1700,3891,345,
462,513253,344,6165,7221,1212,1622,
463,513253,346,8127,2826,3646,7274,
464,513253,346,2826,2278,7274,475,
465,513253,347,1809,2827,591,7274,
466,513253,347,2827,1809,7274,591,
467,513253,349,1812,1702,348,350,
468,513253,349,1702,1812,350,348,
469,513253,351,12307,9833,352,6843,
470,513253,351,9833,12307,6843,352,
471,513253,352,12340,784,9754,599,
472,513253,352,784,12340,599,9754,
473,513253,355,1704,8852,356,4592,
474,513253,355,2138,2133,497,2497,
475,513253,355,2133,2138,2497,497,
476,513253,355,8852,1704,4592,356,
477,513253,358,1816,1705,356,357,
478,513253,358,1705,1816,357,356,
479,513253,359,771,1818,360,601,
480,513253,359,1818,771,601,360,
481,513253,359,811,11881,994,9637,
482,513253,359,11881,811,9637,994,
483,513253,361,772,7079,312,1744,
484,513253,361,7079,772,1744,312,
485,513253,362,1788,1099,317,1778,
486,513253,362,1099,1788,1778,317,
487,513253,364,773,2304,365,2689,
488,513253,364,2304,773,2689,365,
489,513253,366,791,774,615,321,
490,513253,366,774,791,321,615,
491,513253,368,1919,1819,1127,607,
492,513253,368,1707,13050,369,10175,
493,513253,368,1819,1919,607,1127,
494,513253,368,13050,1707,10175,369,
495,513253,370,11221,663,9071,371,
496,513253,370,663,11221,371,9071,
497,513253,373,2702,2401,6079,634,
498,513253,373,2401,2702,634,6079,
499,513253,373,664,783,374,554,
500,513253,373,783,664,554,374,
501,513253,375,1708,1968,376,2276,
502,513253,375,750,668,6342,630,
503,513253,375,668,750,630,6342,
504,513253,375,1968,1708,2276,376,
505,513253,379,2761,13053,6469,10174,
506,513253,379,13053,2761,10174,6469,
507,513253,379,1966,13053,1419,10174,
508,513253,380,1710,2463,129,632,
509,513253,380,242,247,6472,5949,
510,513253,380,10562,2463,8688,632,
511,513253,380,2463,1710,632,129,
512,513253,381,1046,2735,850,6304,
513,513253,381,13937,12848,10655,6307,
514,513253,381,2735,1046,6304,850,
515,513253,381,12848,13937,6307,10655,
516,513253,384,895,777,5275,410,
517,513253,384,1711,1405,386,5305,
518,513253,384,777,895,410,5275,
519,513253,384,1405,1711,5305,386,
520,513253,385,896,858,5275,732,
521,513253,385,858,896,732,5275,
522,513253,386,1711,1712,384,387,
523,513253,386,1712,1711,387,384,
524,513253,386,1402,6232,5276,750,
525,513253,387,1712,1825,386,640,
526,513253,387,1825,1712,640,386,
527,513253,387,12392,13100,9649,10211,
528,513253,388,11677,665,9392,389,
529,513253,388,665,11677,389,9392,
530,513253,388,11716,873,9334,4802,
531,513253,388,873,11716,4802,9334,
532,513253,389,699,665,4788,388,
533,513253,390,1713,1489,391,6549,
534,513253,390,1489,1713,6549,391,
535,513253,396,1715,925,395,6801,
536,513253,396,925,1715,6801,395,
537,513253,400,1965,1717,2192,28,
538,513253,400,1717,1965,28,2192,
539,513253,401,2863,2868,7544,7558,
540,513253,401,2868,2863,7558,7544,
541,513253,401,1922,2865,1186,7554,
542,513253,401,2865,1922,7554,1186,
543,513253,402,2557,1718,4890,403,
544,513253,402,2555,1718,4887,403,
545,513253,402,1718,2557,403,4890,
546,513253,404,866,879,4512,4929,
547,513253,404,879,866,4929,4512,
548,513253,405,867,12233,4512,5584,
549,513253,405,12233,867,5584,4512,
550,513253,407,776,798,406,639,
551,513253,407,798,776,639,406,
552,513253,407,12429,776,4271,406,
553,513253,409,12427,12323,408,9634,
554,513253,409,12323,12427,9634,408,
555,513253,410,777,857,384,408,
556,513253,410,857,777,408,384,
557,513253,411,13718,862,10293,4408,
558,513253,411,862,13718,4408,10293,
559,513253,412,10847,13136,8850,10229,
560,513253,412,13136,10847,10229,8850,
561,513253,413,778,893,414,5269,
562,513253,413,893,778,5269,414,
563,513253,414,11510,778,9205,413,
564,513253,414,778,11510,413,9205,
565,513253,415,799,829,672,1367,
566,513253,415,829,799,1367,672,
567,513253,417,2460,1720,416,418,
568,513253,417,1720,2460,418,416,
569,513253,420,780,12385,421,9920,
570,513253,420,12409,9306,9926,5683,
571,513253,420,12385,780,9920,421,
572,513253,420,9306,12409,5683,9926,
573,513253,422,2754,12885,6455,10028,
574,513253,422,12885,2754,10028,6455,
575,513253,424,758,756,6383,6366,
576,513253,424,756,758,6366,6383,
577,513253,424,6774,2746,2173,6388,
578,513253,424,2746,6774,6388,2173,
579,513253,426,1721,1920,427,1128,
580,513253,426,3295,3296,1126,3354,
581,513253,426,1920,1721,1128,427,
582,513253,426,3296,3295,3354,1126,
583,513253,428,815,781,1011,429,
584,513253,428,781,815,429,1011,
585,513253,431,1722,1814,432,598,
586,513253,431,1724,1934,435,1692,
587,513253,431,1814,1722,598,432,
588,513253,431,1934,1724,1692,435,
589,513253,433,1723,11600,434,9411,
590,513253,433,11600,1723,9411,434,
591,513253,436,1725,2469,241,968,
592,513253,436,2469,1725,968,241,
593,513253,436,508,501,6959,6948,
594,513253,436,10534,1725,8662,241,
595,513253,437,1726,2818,438,7178,
596,513253,437,499,522,6946,7181,
597,513253,437,2818,1726,7178,438,
598,513253,437,10523,2818,8654,7178,
599,513253,438,1726,2470,437,714,
600,513253,438,2470,1726,714,437,
601,513253,438,533,394,7210,4347,
602,513253,438,10518,2470,8654,714,
603,513253,439,1727,2287,440,482,
604,513253,439,2287,1727,482,440,
605,513253,441,1856,1728,721,442,
606,513253,441,1728,1856,442,721,
607,513253,442,1728,1857,441,722,
608,513253,442,1857,1728,722,441,
609,513253,443,1729,2487,177,4363,
610,513253,443,2487,1729,4363,177,
611,513253,443,408,409,4566,4375,
612,513253,443,10423,2487,8604,4363,
613,513253,445,1730,2108,286,3389,
614,513253,445,2108,1730,3389,286,
615,513253,446,2872,2369,7563,3391,
616,513253,446,997,1582,445,7571,
617,513253,446,2369,2872,3391,7563,
618,513253,446,1582,997,7571,445,
619,513253,457,2852,2399,7508,456,
620,513253,457,2399,2852,456,7508,
621,513253,457,1023,1864,784,785,
622,513253,457,1864,1023,785,784,
623,513253,461,11396,1641,9325,8139,
624,513253,461,1641,11396,8139,9325,
625,513253,464,1740,998,342,463,
626,513253,464,998,1740,463,342,
627,513253,464,10100,11478,7501,9389,
628,513253,465,999,1565,296,7485,
629,513253,465,1565,999,7485,296,
630,513253,468,1272,1001,467,469,
631,513253,468,1001,1272,469,467,
632,513253,473,1742,1741,474,298,
633,513253,473,1741,1742,298,474,
634,513253,473,1998,1997,2416,2424,
635,513253,473,1997,1998,2424,2416,
636,513253,476,1744,2491,301,4406,
637,513253,476,2491,1744,4406,301,
638,513253,481,2293,1747,480,482,
639,513253,481,1747,2293,482,480,
640,513253,481,6597,6598,1969,1978,
641,513253,481,6598,6597,1978,1969,
642,513253,486,1750,2193,487,485,
643,513253,486,2193,1750,485,487,
644,513253,490,2157,1752,309,491,
645,513253,490,1752,2157,491,309,
646,513253,491,1752,1753,490,492,
647,513253,491,1753,1752,492,490,
648,513253,504,2030,7089,1749,2534,
649,513253,512,2173,1765,511,513,
650,513253,512,1765,2173,513,511,
651,513253,526,1485,1886,6516,993,
652,513253,526,1886,1485,993,6516,
653,513253,527,1337,13982,252,10849,
654,513253,527,13982,1337,10849,252,
655,513253,527,13255,464,9497,6515,
656,513253,527,10513,13982,8642,10849,
657,513253,533,1778,2299,532,534,
658,513253,533,2299,1778,534,532,
659,513253,553,2276,3964,3605,3727,
660,513253,553,2646,10577,5643,8715,
661,513253,553,3964,2276,3727,3605,
662,513253,553,10577,2646,8715,5643,
663,513253,559,2402,1790,4019,558,
664,513253,559,1790,2402,558,4019,
665,513253,561,2444,1956,2096,2097,
666,513253,561,1956,2444,2097,2096,
667,513253,561,2445,13151,560,10238,
668,513253,561,13151,2445,10238,560,
669,513253,562,1005,13149,563,10238,
670,513253,562,1319,1108,2105,2106,
671,513253,562,1108,1319,2106,2105,
672,513253,562,13149,1005,10238,563,
673,513253,572,1800,1801,341,573,
674,513253,572,1801,1800,573,341,
675,513253,572,1112,6886,2321,2323,
676,513253,572,6886,1112,2323,2321,
677,513253,579,2360,1806,578,580,
678,513253,579,1806,2360,580,578,
679,513253,579,6342,1122,1625,2381,
680,513253,579,1122,6342,2381,1625,
681,513253,584,2517,2842,583,7390,
682,513253,584,2842,2517,7390,583,
683,513253,587,1193,1569,3331,7490,
684,513253,587,1569,1193,7490,3331,
685,513253,588,1006,1570,589,7490,
686,513253,588,1570,1006,7490,589,
687,513253,594,1008,2283,476,593,
688,513253,594,2493,2283,4406,593,
689,513253,594,2283,2493,593,4406,
690,513253,596,2834,1811,7304,597,
691,513253,596,1811,2834,597,7304,
692,513253,600,2160,7063,2504,2505,
693,513253,600,7063,2160,2505,2504,
694,513253,601,1817,1818,357,359,
695,513253,601,1818,1817,359,357,
696,513253,614,1356,2256,3295,3584,
697,513253,614,2256,1356,3584,3295,
698,513253,620,796,11693,619,9286,
699,513253,620,11693,796,9286,619,
700,513253,622,12046,6819,9600,1461,
701,513253,622,6819,12046,1461,9600,
702,513253,624,2674,1822,5794,623,
703,513253,624,1822,2674,623,5794,
704,513253,628,14253,12322,10774,629,
705,513253,628,12322,14253,629,10774,
706,513253,629,12304,12322,630,628,
707,513253,629,12322,12304,628,630,
708,513253,629,1047,9612,853,6329,
709,513253,629,9612,1047,6329,853,
710,513253,631,1087,1823,1045,376,
711,513253,631,1478,12362,6368,1502,
712,513253,631,1823,1087,376,1045,
713,513253,631,12362,1478,1502,6368,
714,513253,632,2463,13072,380,10194,
715,513253,632,13072,2463,10194,380,
716,513253,635,2691,834,5888,3385,
717,513253,637,797,12446,638,4552,
718,513253,637,6710,8709,2090,4263,
719,513253,637,8709,6710,4263,2090,
720,513253,637,12446,797,4552,638,
721,513253,639,798,859,407,638,
722,513253,639,859,798,638,407,
723,513253,644,2775,1828,6539,643,
724,513253,644,1828,2775,643,6539,
725,513253,645,2776,2777,6539,6588,
726,513253,645,2777,2776,6588,6539,
727,513253,646,2260,2778,548,6588,
728,513253,646,2778,2260,6588,548,
729,513253,647,13701,12999,10573,10153,
730,513253,647,964,13497,7837,10575,
731,513253,647,12999,13701,10153,10573,
732,513253,647,13497,964,10575,7837,
733,513253,657,1862,1833,735,4752,
734,513253,657,1833,1862,4752,735,
735,513253,658,1834,2320,659,3797,
736,513253,658,2320,1834,3797,659,
737,513253,658,1871,2313,910,1381,
738,513253,658,2313,1871,1381,910,
739,513253,669,903,11869,5607,9421,
740,513253,669,11869,903,9421,5607,
741,513253,671,724,905,5667,5614,
742,513253,671,10631,10620,8753,8742,
743,513253,671,10620,10631,8742,8753,
744,513253,671,905,724,5614,5667,
745,513253,672,799,11515,415,9211,
746,513253,672,11515,799,9211,415,
747,513253,675,1843,1844,674,676,
748,513253,675,1844,1843,676,674,
749,513253,677,880,977,1125,678,
750,513253,677,14374,3314,11045,4414,
751,513253,677,977,880,678,1125,
752,513253,677,3314,14374,4414,11045,
753,513253,679,710,731,5021,5767,
