,meshcode,linkno,geometry
193,513243,1357,
194,513243,1358,
195,513243,1360,
196,513243,1364,
197,513243,1365,
198,513243,1371,
199,513243,1372,
200,513243,1373,
201,513243,1381,
202,513243,1384,
203,513243,1387,
204,513243,1391,
205,513243,1397,
206,513243,1399,
207,513243,1402,
208,513243,1403,
209,513243,1405,
210,513243,1406,
211,513243,1407,
212,513243,1408,
213,513243,1409,
214,513243,1413,
215,513243,1414,
216,513243,1415,
217,513243,1416,
218,513243,1424,
219,513243,1428,
220,513243,1429,
221,513243,1436,
222,513243,1437,
223,513243,1438,
224,513243,1440,
225,513243,1441,
226,513243,1444,
227,513243,1447,
228,513243,1454,
229,513243,1462,
230,513243,1469,
231,513243,1472,
232,513243,1476,
233,513243,1477,
234,513243,1478,
235,513243,1488,
236,513243,1544,
237,513243,1550,
238,513243,1597,
239,513243,1830,
240,513243,1929,
241,513243,2029,
242,513243,2045,
243,513243,2133,
244,513243,2218,
245,513243,2380,
246,513243,2382,
247,513243,2383,
248,513243,2390,
249,513243,2391,
250,513243,2393,
251,513243,2409,
252,513243,2455,
253,513243,2456,
254,513243,2457,
255,513243,2468,
256,513243,2470,
257,513243,2479,
258,513243,2519,
259,513243,2520,
260,513243,2530,
261,513243,2531,
262,513243,2533,
263,513243,2534,
264,513243,2535,
265,513243,2572,
266,513243,2573,
267,513243,2580,
268,513243,2587,
269,513243,2604,
270,513243,2606,
271,513243,2615,
272,513243,2649,
273,513243,2672,
274,513243,2698,
275,513243,2714,
276,513243,2726,
277,513243,2730,
278,513243,2732,
279,513243,2755,
280,513243,2756,
281,513243,2758,
282,513243,2766,
283,513243,2768,
284,513243,2774,
285,513243,2775,
286,513243,2776,
287,513243,2782,
288,513243,2784,
289,513243,2791,
290,513243,2802,
291,513243,2803,
292,513243,2804,
293,513243,2808,
294,513243,2816,
295,513243,2823,
296,513243,2850,
297,513243,2851,
298,513243,2855,
299,513243,2859,
300,513243,2871,
301,513243,2890,
302,513243,2891,
303,513243,2892,
304,513243,2893,
305,513243,2894,
306,513243,2896,
307,513243,2897,
308,513243,2900,
309,513243,2901,
310,513243,2904,
311,513243,2905,
312,513243,2906,
313,513243,2907,
314,513243,2911,
315,513243,2956,
316,513243,2957,
317,513243,2958,
318,513243,2965,
319,513243,2966,
320,513243,2967,
321,513243,2968,
322,513243,2978,
323,513243,2981,
324,513243,2982,
325,513243,2983,
326,513243,2984,
327,513243,2986,
328,513243,2987,
329,513243,2988,
330,513243,2989,
331,513243,2990,
332,513243,2991,
333,513243,2992,
334,513243,2993,
335,513243,3028,
336,513243,3029,
337,513243,3030,
338,513243,3031,
339,513243,3032,
340,513243,3033,
341,513243,3034,
