,Unnamed: 0,meshcode,nodeno,x,y,crosskind,tollgate,objectid,meshno,linkno,geometry
22203,22203,513243,6703,132.47454833333333,34.364422777777776,1,0,4-33-18-5-1225277,5,10870,
22204,22204,513243,6703,132.47454833333333,34.364422777777776,1,0,4-33-18-5-1225277,5,17633,
22205,22205,513243,6704,132.46087805555555,34.38124472222222,1,0,4-33-18-5-1225282,5,6162,
22206,22206,513243,6704,132.46087805555555,34.38124472222222,1,0,4-33-18-5-1225282,5,6163,
22207,22207,513243,6704,132.46087805555555,34.38124472222222,1,0,4-33-18-5-1225282,5,6204,
22208,22208,513243,6704,132.46087805555555,34.38124472222222,1,0,4-33-18-5-1225282,5,6205,
22209,22209,513243,6704,132.46087805555555,34.38124472222222,1,0,4-33-18-5-1225282,5,7328,
22210,22210,513243,6705,132.46041222222223,34.382216944444444,1,0,4-33-18-5-1225289,5,6164,
22211,22211,513243,6705,132.46041222222223,34.382216944444444,1,0,4-33-18-5-1225289,5,6205,
22212,22212,513243,6705,132.46041222222223,34.382216944444444,1,0,4-33-18-5-1225289,5,6206,
22213,22213,513243,6705,132.46041222222223,34.382216944444444,1,0,4-33-18-5-1225289,5,19415,
22214,22214,513243,6706,132.46045805555556,34.3767175,1,0,4-33-18-5-1225294,5,6166,
22215,22215,513243,6706,132.46045805555556,34.3767175,1,0,4-33-18-5-1225294,5,6180,
22216,22216,513243,6706,132.46045805555556,34.3767175,1,0,4-33-18-5-1225294,5,7430,
22217,22217,513243,6707,132.44985666666668,34.366884722222224,1,0,4-33-18-5-1225299,5,6167,
22218,22218,513243,6707,132.44985666666668,34.366884722222224,1,0,4-33-18-5-1225299,5,6208,
22219,22219,513243,6707,132.44985666666668,34.366884722222224,1,0,4-33-18-5-1225299,5,7412,
22220,22220,513243,6707,132.44985666666668,34.366884722222224,1,0,4-33-18-5-1225299,5,9042,
22221,22221,513243,6708,132.44934527777778,34.36657916666667,2,0,4-33-18-5-1225304,5,6168,
22222,22222,513243,6708,132.44934527777778,34.36657916666667,2,0,4-33-18-5-1225304,5,7413,
22223,22223,513243,6709,132.46095833333334,34.36345027777778,1,0,4-33-18-5-1225314,5,2126,
22224,22224,513243,6709,132.46095833333334,34.36345027777778,1,0,4-33-18-5-1225314,5,2780,
22225,22225,513243,6709,132.46095833333334,34.36345027777778,1,0,4-33-18-5-1225314,5,6170,
22226,22226,513243,6710,132.46110611111112,34.36344111111111,2,0,4-33-18-5-1225319,5,6170,
22227,22227,513243,6710,132.46110611111112,34.36344111111111,2,0,4-33-18-5-1225319,5,7660,
22228,22228,513243,6711,132.46683305555555,34.36504277777778,1,0,4-33-18-5-1225324,5,10817,
22229,22229,513243,6711,132.46683305555555,34.36504277777778,1,0,4-33-18-5-1225324,5,11825,
22230,22230,513243,6711,132.46683305555555,34.36504277777778,1,0,4-33-18-5-1225324,5,14246,
22231,22231,513243,6711,132.46683305555555,34.36504277777778,1,0,4-33-18-5-1225324,5,15025,
22232,22232,513243,6712,132.4670602777778,34.35915472222222,1,0,4-33-18-5-1225329,5,6172,
22233,22233,513243,6712,132.4670602777778,34.35915472222222,1,0,4-33-18-5-1225329,5,7546,
22234,22234,513243,6712,132.4670602777778,34.35915472222222,1,0,4-33-18-5-1225329,5,7669,
22235,22235,513243,6713,132.4423911111111,34.36929138888889,1,0,4-33-18-5-1225334,5,7395,
22236,22236,513243,6713,132.4423911111111,34.36929138888889,1,0,4-33-18-5-1225334,5,10690,
22237,22237,513243,6713,132.4423911111111,34.36929138888889,1,0,4-33-18-5-1225334,5,18364,
22238,22238,513243,6714,132.4426863888889,34.37003222222222,1,0,4-33-18-5-1225339,5,7397,
22239,22239,513243,6714,132.4426863888889,34.37003222222222,1,0,4-33-18-5-1225339,5,15915,
22240,22240,513243,6714,132.4426863888889,34.37003222222222,1,0,4-33-18-5-1225339,5,18367,
22241,22241,513243,6715,132.44892472222222,34.371606388888885,1,0,4-33-18-5-1225344,5,14250,
22242,22242,513243,6715,132.44892472222222,34.371606388888885,1,0,4-33-18-5-1225344,5,14296,
22243,22243,513243,6715,132.44892472222222,34.371606388888885,1,0,4-33-18-5-1225344,5,14924,
22244,22244,513243,6716,132.44972027777777,34.371384166666665,1,0,4-33-18-5-1225349,5,11671,
22245,22245,513243,6716,132.44972027777777,34.371384166666665,1,0,4-33-18-5-1225349,5,14250,
22246,22246,513243,6716,132.44972027777777,34.371384166666665,1,0,4-33-18-5-1225349,5,14298,
22247,22247,513243,6716,132.44972027777777,34.371384166666665,1,0,4-33-18-5-1225349,5,14355,
22248,22248,513243,6717,132.44741333333334,34.37178222222222,1,0,4-33-18-5-1225354,5,6173,
22249,22249,513243,6717,132.44741333333334,34.37178222222222,1,0,4-33-18-5-1225354,5,7384,
22250,22250,513243,6717,132.44741333333334,34.37178222222222,1,0,4-33-18-5-1225354,5,10683,
22251,22251,513243,6718,132.44750416666668,34.372032222222224,1,0,4-33-18-5-1225359,5,6174,
22252,22252,513243,6718,132.44750416666668,34.372032222222224,1,0,4-33-18-5-1225359,5,7384,
22253,22253,513243,6718,132.44750416666668,34.372032222222224,1,0,4-33-18-5-1225359,5,14251,
22254,22254,513243,6719,132.44760666666667,34.372282222222225,1,0,4-33-18-5-1225364,5,6174,
22255,22255,513243,6719,132.44760666666667,34.372282222222225,1,0,4-33-18-5-1225364,5,8586,
22256,22256,513243,6719,132.44760666666667,34.372282222222225,1,0,4-33-18-5-1225364,5,10682,
22257,22257,513243,6720,132.44668611111112,34.37227305555555,1,0,4-33-18-5-1225369,5,11670,
22258,22258,513243,6720,132.44668611111112,34.37227305555555,1,0,4-33-18-5-1225369,5,14251,
22259,22259,513243,6720,132.44668611111112,34.37227305555555,1,0,4-33-18-5-1225369,5,14277,
22260,22260,513243,6720,132.44668611111112,34.37227305555555,1,0,4-33-18-5-1225369,5,14922,
22261,22261,513243,6721,132.44791333333333,34.37306916666667,1,0,4-33-18-5-1225374,5,6220,
22262,22262,513243,6721,132.44791333333333,34.37306916666667,1,0,4-33-18-5-1225374,5,9890,
22263,22263,513243,6721,132.44791333333333,34.37306916666667,1,0,4-33-18-5-1225374,5,9891,
22264,22264,513243,6722,132.45025388888888,34.376828055555556,1,0,4-33-18-5-1225379,5,12086,
22265,22265,513243,6722,132.45025388888888,34.376828055555556,1,0,4-33-18-5-1225379,5,14253,
22266,22266,513243,6722,132.45025388888888,34.376828055555556,1,0,4-33-18-5-1225379,5,14910,
22267,22267,513243,6723,132.44652694444446,34.37511527777778,1,0,4-33-18-5-1225384,5,14254,
22268,22268,513243,6723,132.44652694444446,34.37511527777778,1,0,4-33-18-5-1225384,5,14300,
22269,22269,513243,6723,132.44652694444446,34.37511527777778,1,0,4-33-18-5-1225384,5,14466,
22270,22270,513243,6724,132.44737916666668,34.375059722222225,1,0,4-33-18-5-1225389,5,14254,
22271,22271,513243,6724,132.44737916666668,34.375059722222225,1,0,4-33-18-5-1225389,5,14295,
22272,22272,513243,6724,132.44737916666668,34.375059722222225,1,0,4-33-18-5-1225389,5,14356,
22273,22273,513243,6724,132.44737916666668,34.375059722222225,1,0,4-33-18-5-1225389,5,14905,
22274,22274,513243,6725,132.44761777777777,34.37502277777778,1,0,4-33-18-5-1225394,5,14255,
22275,22275,513243,6725,132.44761777777777,34.37502277777778,1,0,4-33-18-5-1225394,5,14356,
22276,22276,513243,6725,132.44761777777777,34.37502277777778,1,0,4-33-18-5-1225394,5,15953,
22277,22277,513243,6726,132.44652694444446,34.375300555555555,1,0,4-33-18-5-1225399,5,14300,
22278,22278,513243,6726,132.44652694444446,34.375300555555555,1,0,4-33-18-5-1225399,5,14900,
22279,22279,513243,6726,132.44652694444446,34.375300555555555,1,0,4-33-18-5-1225399,5,15925,
22280,22280,513243,6727,132.4458111111111,34.37567972222222,1,0,4-33-18-5-1225404,5,14256,
22281,22281,513243,6727,132.4458111111111,34.37567972222222,1,0,4-33-18-5-1225404,5,14899,
22282,22282,513243,6727,132.4458111111111,34.37567972222222,1,0,4-33-18-5-1225404,5,15955,
22283,22283,513243,6728,132.46779833333332,34.37927305555556,1,0,4-33-18-5-1225409,5,6175,
22284,22284,513243,6728,132.46779833333332,34.37927305555556,1,0,4-33-18-5-1225409,5,7636,
22285,22285,513243,6728,132.46779833333332,34.37927305555556,1,0,4-33-18-5-1225409,5,7637,
22286,22286,513243,6729,132.46752555555557,34.37844888888889,1,0,4-33-18-5-1225414,5,6221,
22287,22287,513243,6729,132.46752555555557,34.37844888888889,1,0,4-33-18-5-1225414,5,7636,
22288,22288,513243,6729,132.46752555555557,34.37844888888889,1,0,4-33-18-5-1225414,5,8815,
22289,22289,513243,6730,132.46825277777776,34.37249583333333,1,0,4-33-18-5-1225419,5,14263,
22290,22290,513243,6730,132.46825277777776,34.37249583333333,1,0,4-33-18-5-1225419,5,14364,
22291,22291,513243,6730,132.46825277777776,34.37249583333333,1,0,4-33-18-5-1225419,5,16559,
22292,22292,513243,6731,132.4685825,34.37183861111111,1,0,4-33-18-5-1225424,5,10857,
22293,22293,513243,6731,132.4685825,34.37183861111111,1,0,4-33-18-5-1225424,5,14263,
22294,22294,513243,6731,132.4685825,34.37183861111111,1,0,4-33-18-5-1225424,5,15078,
22295,22295,513243,6732,132.46787805555556,34.370690555555555,1,0,4-33-18-5-1225429,5,14266,
22296,22296,513243,6732,132.46787805555556,34.370690555555555,1,0,4-33-18-5-1225429,5,14365,
22297,22297,513243,6732,132.46787805555556,34.370690555555555,1,0,4-33-18-5-1225429,5,16166,
22298,22298,513243,6733,132.46819638888888,34.370597777777775,1,0,4-33-18-5-1225434,5,14267,
22299,22299,513243,6733,132.46819638888888,34.370597777777775,1,0,4-33-18-5-1225434,5,14280,
22300,22300,513243,6733,132.46819638888888,34.370597777777775,1,0,4-33-18-5-1225434,5,16167,
22301,22301,513243,6734,132.47395722222223,34.372412777777775,1,0,4-33-18-5-1225439,5,6224,
22302,22302,513243,6734,132.47395722222223,34.372412777777775,1,0,4-33-18-5-1225439,5,6225,
22303,22303,513243,6734,132.47395722222223,34.372412777777775,1,0,4-33-18-5-1225439,5,7655,
22304,22304,513243,6734,132.47395722222223,34.372412777777775,1,0,4-33-18-5-1225439,5,16162,
22305,22305,513243,6735,132.474355,34.37240333333333,1,0,4-33-18-5-1225444,5,10862,
22306,22306,513243,6735,132.474355,34.37240333333333,1,0,4-33-18-5-1225444,5,16163,
22307,22307,513243,6735,132.474355,34.37240333333333,1,0,4-33-18-5-1225444,5,16675,
22308,22308,513243,6736,132.4752638888889,34.37226444444445,1,0,4-33-18-5-1225449,5,14271,
22309,22309,513243,6736,132.4752638888889,34.37226444444445,1,0,4-33-18-5-1225449,5,16585,
