,meshcode,linkno,geometry
468,533936,3106,
469,533936,3107,
470,533936,3108,
471,533936,3109,
472,533936,3110,
473,533936,3111,
474,533936,3112,
475,533936,3113,
476,533936,3114,
477,533936,3115,
478,533936,3116,
479,533936,3117,
480,533936,3118,
481,533936,3119,
482,533936,3120,
483,533936,3141,
484,533936,3142,
485,533936,3148,
486,533936,3152,
487,533936,3153,
488,533936,3163,
489,533936,3164,
490,533936,3165,
491,533936,3166,
492,533936,3169,
493,533936,3170,
494,533936,3171,
495,533936,3173,
496,533936,3174,
497,533936,3175,
498,533936,3180,
499,533936,3181,
500,533936,3191,
501,533936,3192,
502,533936,3193,
503,533936,3194,
504,533936,3195,
505,533936,3196,
506,533936,3197,
507,533936,3198,
508,533936,3199,
509,533936,3200,
510,533936,3201,
511,533936,3206,
512,533936,3207,
513,533936,3208,
514,533936,3209,
515,533936,3210,
516,533936,3211,
517,533936,3212,
518,533936,3213,
519,533936,3214,
520,533936,3215,
521,533936,3216,
522,533936,3217,
523,533936,3218,
524,533936,3219,
525,533936,3220,
526,533936,3221,
527,533936,3222,
528,533936,3223,
529,533936,3224,
530,533936,3225,
531,533936,3227,
532,533936,3228,
533,533936,3229,
534,533936,3230,
535,533936,3232,
536,533936,3233,
537,533936,3243,
538,533936,3269,
539,533936,3270,
540,533936,3271,
541,533936,3272,
542,533936,3273,
543,533936,3274,
544,533936,3275,
545,533936,3276,
546,533936,3277,
547,533936,3278,
548,533936,3279,
549,533936,3280,
550,533936,3281,
551,533936,3282,
552,533936,3283,
553,533936,3284,
554,533936,3285,
555,533936,3286,
556,533936,3287,
557,533936,3288,
558,533936,3296,
559,533936,3297,
560,533936,3298,
561,533936,3309,
562,533936,3310,
563,533936,3311,
564,533936,3312,
565,533936,3313,
566,533936,3314,
567,533936,3315,
568,533936,3316,
569,533936,3317,
570,533936,3344,
571,533936,3345,
572,533936,3346,
573,533936,3347,
574,533936,3348,
575,533936,3349,
576,533936,3392,
577,533936,3393,
578,533936,3394,
579,533936,3395,
580,533936,3396,
581,533936,3397,
582,533936,3398,
583,533936,3414,
584,533936,3415,
585,533936,3416,
586,533936,3417,
587,533936,3421,
588,533936,3422,
589,533936,3423,
590,533936,3424,
591,533936,3425,
592,533936,3426,
593,533936,3427,
594,533936,3431,
595,533936,3432,
596,533936,3433,
597,533936,3445,
598,533936,3454,
599,533936,3455,
600,533936,3456,
601,533936,3457,
602,533936,3458,
603,533936,3468,
604,533936,3469,
605,533936,3470,
606,533936,3472,
607,533936,3473,
608,533936,3476,
609,533936,3477,
610,533936,3489,
611,533936,3490,
612,533936,3492,
613,533936,3495,
614,533936,3497,
615,533936,3498,
616,533936,3499,
617,533936,3500,
618,533936,3504,
619,533936,3505,
620,533936,3507,
621,533936,3508,
622,533936,3509,
623,533936,3510,
624,533936,3511,
625,533936,3512,
626,533936,3514,
627,533936,3515,
628,533936,3517,
629,533936,3518,
630,533936,3522,
631,533936,3523,
632,533936,3526,
633,533936,3533,
634,533936,3539,
635,533936,3540,
636,533936,3545,
637,533936,3546,
638,533936,3570,
639,533936,3573,
640,533936,3576,
641,533936,3579,
642,533936,3581,
643,533936,3582,
644,533936,3583,
645,533936,3588,
646,533936,3591,
647,533936,3609,
648,533936,3614,
649,533936,3623,
650,533936,3624,
651,533936,3625,
652,533936,3630,
653,533936,3631,
654,533936,3632,
655,533936,3633,
656,533936,3635,
657,533936,3636,
658,533936,3638,
659,533936,3640,
660,533936,3641,
661,533936,3650,
662,533936,3651,
663,533936,3652,
664,533936,3653,
665,533936,3661,
666,533936,3662,
667,533936,3666,
668,533936,3671,
669,533936,3672,
670,533936,3673,
671,533936,3674,
672,533936,3677,
673,533936,3693,
674,533936,3700,
675,533936,3701,
676,533936,3708,
677,533936,3709,
678,533936,3710,
679,533936,3711,
680,533936,3712,
681,533936,3715,
682,533936,3716,
683,533936,3717,
684,533936,3734,
685,533936,3738,
686,533936,3741,
687,533936,3776,
688,533936,3777,
689,533936,3784,
690,533936,3785,
691,533936,3786,
692,533936,3787,
693,533936,3788,
694,533936,3789,
695,533936,3790,
696,533936,3794,
697,533936,3795,
698,533936,3796,
699,533936,3797,
700,533936,3798,
701,533936,3799,
702,533936,3800,
703,533936,3801,
704,533936,3802,
705,533936,3803,
706,533936,3804,
707,533936,3805,
708,533936,3806,
709,533936,3807,
710,533936,3808,
711,533936,3809,
712,533936,3810,
713,533936,3811,
714,533936,3812,
715,533936,3813,
716,533936,3814,
717,533936,3815,
718,533936,3816,
719,533936,3817,
720,533936,3818,
721,533936,3819,
722,533936,3820,
723,533936,3821,
724,533936,3822,
725,533936,3826,
726,533936,3827,
727,533936,3828,
728,533936,3843,
729,533936,3866,
730,533936,3867,
731,533936,3868,
732,533936,3869,
733,533936,3870,
734,533936,3874,
735,533936,3882,
736,533936,3883,
737,533936,3884,
738,533936,3887,
739,533936,3888,
740,533936,3891,
741,533936,3892,
742,533936,3898,
743,533936,3903,
744,533936,3916,
745,533936,3917,
746,533936,3918,
747,533936,3919,
748,533936,3920,
749,533936,3921,
750,533936,3922,
751,533936,3923,
752,533936,3924,
753,533936,3932,
754,533936,3933,
755,533936,3943,
756,533936,3947,
757,533936,3948,
758,533936,3949,
759,533936,3951,
760,533936,3952,
761,533936,3953,
762,533936,3954,
763,533936,3955,
764,533936,3956,
765,533936,3957,
766,533936,3960,
767,533936,3973,
768,533936,3974,
769,533936,3975,
770,533936,3976,
771,533936,3977,
772,533936,3978,
773,533936,3982,
774,533936,3983,
775,533936,3986,
776,533936,3987,
777,533936,3990,
778,533936,3991,
779,533936,3995,
780,533936,3996,
781,533936,4001,
782,533936,4002,
783,533936,4003,
784,533936,4004,
785,533936,4006,
786,533936,4008,
787,533936,4009,
788,533936,4010,
789,533936,4011,
790,533936,4012,
791,533936,4013,
792,533936,4014,
793,533936,4015,
794,533936,4016,
795,533936,4021,
796,533936,4022,
797,533936,4023,
798,533936,4024,
799,533936,4025,
800,533936,4031,
801,533936,4039,
802,533936,4040,
803,533936,4041,
804,533936,4063,
805,533936,4065,
806,533936,4066,
807,533936,4067,
808,533936,4068,
809,533936,4069,
810,533936,4070,
811,533936,4086,
812,533936,4091,
813,533936,4107,
814,533936,4224,
815,533936,4230,
816,533936,4235,
817,533936,4239,
818,533936,4241,
819,533936,4242,
820,533936,4244,
821,533936,4245,
822,533936,4246,
823,533936,4247,
824,533936,4248,
825,533936,4251,
826,533936,4252,
827,533936,4256,
828,533936,4257,
829,533936,4272,
830,533936,4273,
831,533936,4275,
832,533936,4276,
833,533936,4288,
834,533936,4294,
835,533936,4303,
836,533936,4304,
837,533936,4306,
838,533936,4308,
839,533936,4309,
840,533936,4310,
841,533936,4311,
842,533936,4312,
843,533936,4313,
844,533936,4319,
845,533936,4321,
846,533936,4322,
847,533936,4325,
848,533936,4328,
849,533936,4329,
850,533936,4330,
851,533936,4331,
852,533936,4334,
853,533936,4335,
854,533936,4336,
855,533936,4340,
856,533936,4341,
857,533936,4343,
858,533936,4344,
859,533936,4346,
860,533936,4348,
861,533936,4350,
862,533936,4351,
863,533936,4352,
864,533936,4353,
865,533936,4354,
866,533936,4355,
867,533936,4359,
868,533936,4361,
869,533936,4362,
870,533936,4363,
871,533936,4364,
872,533936,4365,
873,533936,4366,
874,533936,4367,
875,533936,4371,
876,533936,4373,
877,533936,4374,
878,533936,4375,
879,533936,4376,
880,533936,4377,
881,533936,4378,
882,533936,4379,
883,533936,4381,
884,533936,4382,
885,533936,4383,
886,533936,4384,
887,533936,4385,
888,533936,4390,
889,533936,4391,
890,533936,4392,
891,533936,4393,
892,533936,4394,
893,533936,4395,
894,533936,4396,
895,533936,4397,
896,533936,4398,
897,533936,4401,
898,533936,4402,
899,533936,4403,
900,533936,4404,
901,533936,4405,
902,533936,4407,
903,533936,4408,
904,533936,4409,
905,533936,4410,
906,533936,4414,
907,533936,4415,
908,533936,4416,
909,533936,4417,
910,533936,4418,
911,533936,4419,
912,533936,4420,
913,533936,4422,
914,533936,4423,
915,533936,4425,
916,533936,4427,
917,533936,4428,
918,533936,4429,
919,533936,4430,
920,533936,4432,
921,533936,4436,
922,533936,4438,
923,533936,4441,
924,533936,4442,
925,533936,4443,
926,533936,4444,
927,533936,4445,
928,533936,4448,
929,533936,4449,
930,533936,4450,
931,533936,4452,
932,533936,4453,
933,533936,4454,
934,533936,4455,
935,533936,4457,
936,533936,4460,
937,533936,4463,
938,533936,4464,
939,533936,4468,
940,533936,4469,
941,533936,4473,
942,533936,4475,
943,533936,4476,
944,533936,4477,
945,533936,4479,
946,533936,4480,
947,533936,4481,
948,533936,4482,
949,533936,4483,
950,533936,4484,
951,533936,4485,
952,533936,4487,
953,533936,4488,
954,533936,4489,
955,533936,4490,
956,533936,4491,
957,533936,4492,
958,533936,4493,
959,533936,4494,
960,533936,4495,
961,533936,4496,
962,533936,4497,
963,533936,4498,
964,533936,4500,
965,533936,4501,
966,533936,4502,
967,533936,4503,
968,533936,4504,
969,533936,4505,
970,533936,4506,
971,533936,4507,
972,533936,4508,
973,533936,4509,
974,533936,4510,
975,533936,4511,
976,533936,4512,
977,533936,4513,
978,533936,4514,
979,533936,4515,
980,533936,4516,
981,533936,4517,
982,533936,4519,
983,533936,4521,
984,533936,4522,
985,533936,4523,
986,533936,4524,
987,533936,4525,
988,533936,4526,
989,533936,4527,
990,533936,4528,
991,533936,4529,
992,533936,4530,
993,533936,4531,
994,533936,4532,
995,533936,4534,
996,533936,4535,
997,533936,4536,
998,533936,4537,
999,533936,4538,
1000,533936,4541,
1001,533936,4542,
1002,533936,4543,
1003,533936,4544,
1004,533936,4545,
1005,533936,4546,
1006,533936,4547,
1007,533936,4548,
1008,533936,4549,
1009,533936,4550,
1010,533936,4551,
1011,533936,4552,
1012,533936,4553,
1013,533936,4554,
1014,533936,4555,
1015,533936,4556,
1016,533936,4557,
1017,533936,4558,
1018,533936,4559,
1019,533936,4560,
1020,533936,4561,
1021,533936,4562,
1022,533936,4563,
1023,533936,4566,
1024,533936,4567,
1025,533936,4568,
1026,533936,4569,
1027,533936,4570,
1028,533936,4571,
1029,533936,4574,
1030,533936,4576,
1031,533936,4577,
1032,533936,4578,
1033,533936,4581,
1034,533936,4582,
1035,533936,4583,
1036,533936,4584,
1037,533936,4585,
1038,533936,4587,
1039,533936,4588,
1040,533936,4589,
1041,533936,4590,
1042,533936,4591,
1043,533936,4593,
1044,533936,4594,
1045,533936,4595,
1046,533936,4596,
1047,533936,4597,
1048,533936,4598,
1049,533936,4599,
1050,533936,4600,
1051,533936,4601,
1052,533936,4602,
1053,533936,4603,
1054,533936,4604,
1055,533936,4605,
1056,533936,4606,
1057,533936,4607,
1058,533936,4608,
1059,533936,4609,
1060,533936,4611,
1061,533936,4612,
1062,533936,4613,
1063,533936,4614,
1064,533936,4615,
1065,533936,4616,
1066,533936,4619,
1067,533936,4620,
1068,533936,4622,
1069,533936,4623,
1070,533936,4624,
1071,533936,4625,
1072,533936,4626,
1073,533936,4627,
1074,533936,4628,
1075,533936,4629,
1076,533936,4630,
1077,533936,4631,
1078,533936,4632,
1079,533936,4633,
1080,533936,4634,
1081,533936,4635,
1082,533936,4636,
1083,533936,4637,
1084,533936,4639,
1085,533936,4640,
1086,533936,4643,
1087,533936,4647,
1088,533936,4648,
1089,533936,4649,
1090,533936,4650,
1091,533936,4651,
1092,533936,4652,
1093,533936,4653,
1094,533936,4654,
1095,533936,4655,
1096,533936,4659,
1097,533936,4660,
1098,533936,4661,
1099,533936,4662,
1100,533936,4663,
1101,533936,4664,
1102,533936,4665,
1103,533936,4666,
1104,533936,4667,
1105,533936,4668,
1106,533936,4669,
1107,533936,4670,
1108,533936,4671,
1109,533936,4672,
1110,533936,4673,
1111,533936,4676,
1112,533936,4677,
1113,533936,4678,
1114,533936,4679,
1115,533936,4680,
1116,533936,4683,
1117,533936,4684,
1118,533936,4685,
1119,533936,4686,
1120,533936,4687,
1121,533936,4688,
1122,533936,4689,
1123,533936,4690,
1124,533936,4691,
1125,533936,4692,
1126,533936,4693,
1127,533936,4695,
1128,533936,4696,
1129,533936,4697,
1130,533936,4698,
1131,533936,4699,
1132,533936,4700,
1133,533936,4701,
1134,533936,4702,
1135,533936,4703,
1136,533936,4704,
1137,533936,4708,
1138,533936,4709,
1139,533936,4710,
1140,533936,4711,
1141,533936,4712,
1142,533936,4713,
1143,533936,4715,
1144,533936,4717,
1145,533936,4718,
1146,533936,4719,
1147,533936,4720,
1148,533936,4721,
1149,533936,4722,
1150,533936,4723,
1151,533936,4724,
1152,533936,4725,
1153,533936,4726,
1154,533936,4727,
1155,533936,4730,
1156,533936,4731,
1157,533936,4734,
1158,533936,4736,
1159,533936,4737,
1160,533936,4738,
