,meshcode,zuflg,tnodeno,snodeno,slinkno,susno,stype,ichikeido,ichiido,signx,signy,geometry
931,533936,0,2360,2359,1255,1,0,503156323,128118495,503156291,128118400,
932,533936,0,2362,738,1257,1,0,503184057,128126728,503183947,128126677,
933,533936,0,2389,2392,1267,1,0,503146464,128113595,503146374,128113655,
934,533936,0,2397,30,4703,1,0,503089436,128225445,503089554,128225489,
935,533936,0,2398,2409,5074,1,0,503094633,128202048,503094630,128202200,
936,533936,0,2401,6817,9322,1,0,503090951,128206081,503090941,128206100,
937,533936,0,2402,6840,9345,1,0,503090828,128204881,503090829,128204793,
938,533936,0,2404,801,5068,1,0,503100359,128208014,503100177,128208010,
939,533936,0,2406,803,5071,1,0,503095204,128210514,503095181,128210290,
940,533936,0,2406,2407,5072,1,0,503095000,128209914,503094951,128209798,
941,533936,0,2407,2400,5067,1,0,503094795,128207614,503094631,128207474,
942,533936,0,2407,4500,5836,1,0,503095123,128207447,503095216,128207461,
943,533936,0,2408,4501,5838,1,0,503097495,128205814,503097511,128205812,
944,533936,0,2409,4501,5839,1,0,503095082,128205814,503094935,128205776,
945,533936,0,2413,1378,5087,1,0,503112544,128335732,503112622,128335809,
946,533936,0,2413,1418,5088,1,0,503113567,128336832,503113549,128336783,
947,533936,0,2414,2437,2477,1,0,503102808,128315001,503102815,128315048,
948,533936,0,2414,5044,6311,1,0,503102563,128313701,503102534,128313693,
949,533936,0,2417,1405,5094,1,0,503103135,128338898,503103115,128338902,
950,533936,0,2426,1353,2485,1,0,503109886,128318734,503109877,128318748,
951,533936,0,2427,3515,5706,1,0,503126984,128322134,503126995,128322141,
952,533936,0,2430,1331,1616,1,0,503096101,128283538,503096112,128283213,
953,533936,0,2431,1333,2469,1,0,503099988,128282238,503100058,128282213,
954,533936,0,2437,1348,2482,1,0,503102277,128316734,503102437,128316761,
955,533936,0,2438,2437,2478,1,0,503102522,128318334,503102613,128318345,
956,533936,0,2439,1346,2479,1,0,503093237,128314668,503093190,128314689,
957,533936,0,2441,1348,2483,1,0,503099414,128317301,503099393,128317295,
958,533936,0,2442,2438,1620,1,0,503105304,128320134,503105329,128320174,
959,533936,0,2442,1351,4087,1,0,503105999,128319701,503106034,128319588,
960,533936,0,2448,1359,2491,1,0,503115530,128323500,503115492,128323545,
961,533936,0,2450,1403,4242,1,0,503102154,128332532,503102246,128332362,
