,meshcode,nodeno,symcode,realx,realy,geometry
1565,533936,5876,719999,503155994,128141325,
1566,533936,5900,719999,503122120,128241378,
1567,533936,5902,719999,503252486,128239015,
1568,533936,5903,719999,503251913,128238682,
1569,533936,5911,719999,503122242,128247510,
1570,533936,5911,712000,503123632,128248710,
1571,533936,5911,712000,503123388,128245510,
1572,533936,5913,719999,503241113,128253046,
1573,533936,5914,719999,503246227,128245681,
1574,533936,5916,719999,503407476,128249851,
1575,533936,5921,719999,503121546,128266008,
1576,533936,5921,710438,503119459,128266775,
1577,533936,5924,719999,503240008,128263578,
1578,533936,5926,719999,503407885,128264483,
1579,533936,5928,719999,503106491,128289138,
1580,533936,5935,719999,503216077,128287274,
1581,533936,5943,719999,503363501,128298111,
1582,533936,5943,710428,503364483,128297178,
1583,533936,5946,719999,503118762,128314502,
1584,533936,5948,719999,503207813,128308938,
1585,533936,5951,719999,503242216,128301774,
1586,533936,5951,712210,503240007,128304106,
1587,533936,5956,719999,503289461,128308707,
1588,533936,5963,719999,503224993,128321837,
1589,533936,5965,719999,503235137,128329370,
1590,533936,5967,719999,503286311,128330437,
1591,533936,5967,710700,503288069,128334337,
1592,533936,5967,710201,503283447,128331071,
1593,533936,5982,719999,503140154,128350865,
1594,533936,5992,712210,503244218,128335270,
1595,533936,5992,719999,503247164,128336936,
1596,533936,5994,719999,503285206,128338703,
1597,533936,5994,710421,503283897,128337271,
1598,533936,5994,710700,503288232,128336604,
1599,533936,5994,710428,503288478,128340036,
1600,533936,5994,712231,503285573,128338770,
1601,533936,5994,712231,503285411,128336971,
1602,533936,5994,712231,503284797,128336937,
1603,533936,6004,719999,503129927,128368163,
1604,533936,6005,719999,503145144,128358197,
1605,533936,6007,719999,503199589,128373364,
1606,533936,6007,711417,503201880,128373497,
1607,533936,6007,711400,503199058,128371697,
1608,533936,6011,719999,503213743,128359066,
1609,533936,6015,719999,503366361,128367602,
1610,533936,6015,712000,503364521,128364435,
1611,533936,6015,710116,503365461,128366569,
1612,533936,6024,719999,503140684,128392161,
1613,533936,6029,711720,503152629,128393094,
1614,533936,6030,719999,503147393,128389794,
1615,533936,6033,719999,503216892,128385396,
1616,533936,6033,710428,503218406,128385496,
1617,533936,6033,710300,503215869,128386029,
1618,533936,6036,719999,503294409,128374500,
1619,533936,6037,719999,503305576,128375367,
1620,533936,6038,719999,503297926,128385332,
1621,533936,6044,712231,503112909,128408091,
1622,533936,6044,712231,503113114,128408491,
1623,533936,6044,711201,503112704,128407658,
1624,533936,6044,710428,503112909,128409424,
1625,533936,6047,719999,503117491,128406624,
1626,533936,6047,710400,503119618,128408091,
1627,533936,6047,711400,503118636,128405725,
1628,533936,6047,711415,503119291,128405059,
1629,533936,6047,711400,503115159,128406124,
1630,533936,6049,719999,503169973,128395894,
1631,533936,6057,711900,503230350,128396663,
1632,533936,6057,710116,503226832,128394496,
1633,533936,6057,719999,503230636,128395596,
1634,533936,6064,719999,503163561,128145392,
1635,533936,6083,719999,503103343,128238577,
1636,533936,6091,719999,503121955,128253676,
1637,533936,6098,719999,503100275,128263740,
1638,533936,6101,719999,503239598,128264078,
1639,533936,6103,719999,503408826,128264416,
1640,533936,6106,719999,503223113,128284608,
1641,533936,6120,719999,503258414,128310606,
1642,533936,6123,711102,503292283,128311507,
1643,533936,6123,719999,503289052,128311707,
1644,533936,6125,719999,503412096,128302778,
1645,533936,6127,719999,503229984,128325903,
1646,533936,6128,719999,503287252,128324272,
1647,533936,6128,710500,503285615,128325405,
1648,533936,6130,711500,503321121,128329005,
1649,533936,6130,711708,503328566,128325273,
1650,533936,6130,719999,503324475,128327206,
1651,533936,6135,719999,503370822,128320275,
1652,533936,6135,710300,503370208,128320808,
1653,533936,6135,710500,503368449,128319108,
1654,533936,6135,710421,503369145,128318675,
1655,533936,6153,719999,503129886,128367796,
1656,533936,6159,719999,503210103,128362666,
1657,533936,6159,711708,503208221,128362866,
1658,533936,6159,712231,503211247,128362666,
