,meshcode,linkno,orflg,seccnt,secno,exflg,maxspeed,ssecichi,esecichi,geometry
3359,533936,5602,2,1,1,0,30,0,10000,
3360,533936,5603,1,1,1,0,30,0,10000,
3361,533936,5603,2,1,1,1,30,0,10000,
3362,533936,5604,1,1,1,1,30,0,10000,
3363,533936,5604,2,1,1,1,30,0,10000,
3364,533936,5605,1,1,1,0,30,0,10000,
3365,533936,5605,2,1,1,0,30,0,10000,
3366,533936,5608,1,1,1,0,30,0,10000,
3367,533936,5608,2,1,1,1,30,0,10000,
3368,533936,5609,1,1,1,1,30,0,10000,
3369,533936,5609,2,1,1,0,30,0,10000,
3370,533936,5610,1,1,1,1,30,0,10000,
3371,533936,5611,1,1,1,0,30,0,10000,
3372,533936,5611,2,1,1,0,30,0,10000,
3373,533936,5612,2,1,1,0,30,0,10000,
3374,533936,5614,2,1,1,0,30,0,10000,
3375,533936,5616,1,1,1,1,30,0,10000,
3376,533936,5616,2,1,1,1,30,0,10000,
3377,533936,5617,1,1,1,0,30,0,10000,
3378,533936,5617,2,1,1,1,30,0,10000,
3379,533936,5618,1,1,1,1,30,0,10000,
3380,533936,5618,2,1,1,0,30,0,10000,
3381,533936,5619,1,1,1,0,30,0,10000,
3382,533936,5619,2,1,1,1,30,0,10000,
3383,533936,5620,2,1,1,1,30,0,10000,
3384,533936,5621,2,1,1,0,30,0,10000,
3385,533936,5622,1,1,1,1,30,0,10000,
3386,533936,5622,2,1,1,1,30,0,10000,
3387,533936,5623,1,1,1,1,30,0,10000,
3388,533936,5623,2,1,1,1,30,0,10000,
3389,533936,5624,1,1,1,0,30,0,10000,
3390,533936,5624,2,1,1,0,30,0,10000,
3391,533936,5626,1,1,1,0,30,0,10000,
3392,533936,5626,2,1,1,0,30,0,10000,
3393,533936,5627,2,1,1,0,30,0,10000,
3394,533936,5628,2,1,1,0,30,0,10000,
3395,533936,5629,1,1,1,1,30,0,10000,
3396,533936,5629,2,1,1,0,30,0,10000,
3397,533936,5630,1,1,1,0,30,0,10000,
3398,533936,5630,2,1,1,1,30,0,10000,
3399,533936,5631,1,1,1,1,30,0,10000,
3400,533936,5631,2,1,1,0,30,0,10000,
3401,533936,5632,2,1,1,0,30,0,10000,
3402,533936,5634,2,1,1,1,30,0,10000,
3403,533936,5635,2,1,1,0,30,0,10000,
3404,533936,5641,1,1,1,1,30,0,10000,
3405,533936,5641,2,1,1,1,30,0,10000,
3406,533936,5642,1,1,1,0,30,0,10000,
3407,533936,5642,2,1,1,1,30,0,10000,
3408,533936,5643,2,1,1,1,30,0,10000,
3409,533936,5644,2,1,1,0,30,0,10000,
3410,533936,5652,1,1,1,0,20,0,10000,
3411,533936,5653,1,1,1,0,30,0,10000,
3412,533936,5656,1,1,1,1,30,0,10000,
3413,533936,5657,1,1,1,0,30,0,10000,
3414,533936,5658,1,1,1,0,30,0,10000,
3415,533936,5662,1,1,1,1,20,0,10000,
3416,533936,5665,1,1,1,0,20,0,10000,
3417,533936,5666,1,1,1,1,30,0,10000,
3418,533936,5666,2,1,1,0,30,0,10000,
3419,533936,5669,1,1,1,0,30,0,10000,
3420,533936,5670,1,1,1,1,30,0,10000,
3421,533936,5671,1,1,1,1,20,0,10000,
3422,533936,5675,1,1,1,1,30,0,10000,
3423,533936,5676,2,1,1,0,30,0,10000,
3424,533936,5677,1,1,1,1,30,0,10000,
3425,533936,5677,2,1,1,1,30,0,10000,
3426,533936,5678,1,1,1,2,30,0,10000,
3427,533936,5679,1,1,1,0,40,0,10000,
3428,533936,5680,1,1,1,0,40,0,10000,
3429,533936,5682,2,1,1,0,30,0,10000,
3430,533936,5683,1,1,1,1,30,0,10000,
3431,533936,5683,2,1,1,1,30,0,10000,
