,meshcode,tnodeno,snodeno,enodeno,yssnodeno,ysenodeno,geometry
282,533936,455,1106,455,6359,6179,
283,533936,455,3414,455,455,1106,
284,533936,455,3414,455,455,3370,
285,533936,455,3414,455,6359,456,
286,533936,455,6180,6359,455,1106,
287,533936,455,6180,6359,6359,456,
288,533936,455,6180,6359,6359,6179,
289,533936,460,459,460,461,4274,
290,533936,460,459,460,461,3685,
291,533936,460,459,460,460,3238,
292,533936,460,4274,461,461,3685,
293,533936,460,4274,461,460,459,
294,533936,460,4274,461,460,3238,
295,533936,471,472,471,471,2207,
296,533936,471,823,471,471,830,
297,533936,482,4114,482,482,4113,
298,533936,492,211,492,492,1607,
299,533936,494,493,494,494,4962,
300,533936,494,495,494,494,1537,
301,533936,494,1537,494,494,493,
302,533936,494,1537,494,494,495,
303,533936,494,1537,494,494,4962,
304,533936,494,4962,494,494,495,
305,533936,494,4962,494,494,493,
306,533936,494,4962,494,494,1537,
307,533936,498,2981,498,2934,6038,
308,533936,498,5281,2934,498,499,
309,533936,509,510,509,2959,6037,
310,533936,509,2954,2959,509,510,
311,533936,509,2954,2959,2959,4316,
312,533936,509,2954,2959,2959,6037,
313,533936,509,4265,2959,509,522,
314,533936,509,5295,509,2959,4316,
315,533936,509,5295,509,509,522,
316,533936,509,5295,509,509,510,
317,533936,522,509,522,2954,1483,
318,533936,522,509,522,522,2978,
319,533936,522,509,522,522,523,
320,533936,522,3750,2954,522,523,
321,533936,522,3750,2954,2954,2959,
322,533936,522,3750,2954,2954,1483,
323,533936,529,532,529,529,3596,
324,533936,531,5209,3714,3714,5238,
325,533936,532,406,532,3459,4808,
326,533936,532,406,532,532,573,
327,533936,532,406,532,532,529,
328,533936,538,111,538,6400,5298,
329,533936,538,111,538,538,4328,
330,533936,539,540,6135,539,5755,
331,533936,539,549,6135,539,5736,
332,533936,539,5755,539,6135,6508,
333,533936,539,6258,539,6135,549,
334,533936,553,228,553,553,5043,
335,533936,553,555,553,553,228,
336,533936,553,559,553,553,554,
337,533936,553,5043,553,553,559,
338,533936,603,607,603,603,5990,
339,533936,603,607,603,603,5988,
340,533936,603,607,603,603,5986,
341,533936,603,5986,603,603,5774,
342,533936,603,5986,603,603,5990,
343,533936,603,5986,603,603,5988,
344,533936,603,5988,603,603,5986,
345,533936,603,5988,603,603,5774,
346,533936,603,5988,603,603,5990,
347,533936,603,5990,603,603,5988,
348,533936,603,5990,603,603,5986,
349,533936,603,5990,603,603,5774,
350,533936,650,1890,650,6566,5231,
351,533936,650,2766,6047,5307,336,
352,533936,650,5241,5307,6047,6424,
353,533936,650,6365,6566,650,651,
354,533936,653,1787,653,5272,5145,
355,533936,653,1787,653,653,1788,
356,533936,653,1787,653,5272,4379,
357,533936,653,4378,653,5272,4379,
358,533936,653,4379,5272,653,1788,
359,533936,653,4379,5272,5272,5145,
360,533936,653,4379,5272,653,1787,
361,533936,653,5153,5272,653,1787,
362,533936,654,656,654,654,688,
363,533936,658,657,658,658,3709,
364,533936,658,657,658,658,2560,
365,533936,658,2560,658,658,3709,
366,533936,658,2560,658,658,657,
367,533936,658,2560,658,658,1768,
368,533936,684,2038,684,684,2028,
369,533936,684,5435,684,684,2696,
370,533936,685,1912,686,685,2601,
371,533936,685,1925,686,685,2027,
372,533936,685,2601,685,686,2808,
373,533936,701,743,701,701,788,
374,533936,701,743,701,701,5414,
375,533936,701,743,701,3609,700,
376,533936,701,790,3609,701,5414,
377,533936,701,790,3609,3609,700,
378,533936,701,790,3609,3609,3608,
379,533936,701,790,3609,3609,3779,
380,533936,703,3731,3514,3514,3844,
381,533936,703,3731,3514,3514,2419,
382,533936,703,4506,3514,3514,3731,
383,533936,703,4507,703,707,691,
384,533936,708,5134,708,708,366,
385,533936,708,5134,708,708,5691,
386,533936,713,714,713,713,6586,
387,533936,714,723,714,6385,6712,
388,533936,714,723,714,714,713,
389,533936,714,723,714,6385,6218,
390,533936,714,4843,714,6385,6218,
391,533936,714,4843,714,714,713,
392,533936,714,4843,714,714,723,
393,533936,714,5671,6385,714,723,
394,533936,714,5671,6385,6385,6218,
395,533936,714,5671,6385,6385,6712,
396,533936,714,6218,6385,714,713,
397,533936,714,6218,6385,714,723,
398,533936,714,6218,6385,6385,6712,
399,533936,733,20,733,733,3520,
400,533936,733,25,733,733,20,
401,533936,733,807,733,733,25,
402,533936,733,3520,733,733,807,
403,533936,740,9,740,740,386,
404,533936,740,386,740,740,811,
405,533936,740,811,740,740,4485,
406,533936,740,4485,740,740,9,
407,533936,741,1337,3610,3610,790,
408,533936,741,1337,3610,741,5215,
409,533936,741,5215,741,741,5718,
410,533936,741,5215,741,3610,790,
411,533936,741,5215,741,3610,1337,
412,533936,742,6233,742,742,2431,
413,533936,743,4835,743,3607,5699,
414,533936,743,4835,743,743,701,
415,533936,743,5699,3607,3607,5928,
416,533936,745,1332,745,3606,5094,
417,533936,745,1332,745,745,744,
418,533936,745,1332,745,3606,4255,
419,533936,745,4255,3606,3606,5094,
420,533936,745,4255,3606,745,1332,
421,533936,745,4255,3606,745,744,
422,533936,745,5689,745,745,744,
423,533936,745,5689,745,745,1332,
424,533936,745,5917,745,745,1332,
425,533936,745,5918,3606,3606,5094,
426,533936,745,5918,3606,3606,4255,
427,533936,745,6097,3606,3606,4255,
428,533936,764,4551,765,765,6200,
429,533936,764,4551,765,764,6677,
430,533936,764,4551,765,764,5478,
431,533936,764,5478,764,764,6677,
432,533936,764,5478,764,765,6200,
433,533936,764,5478,764,765,4551,
434,533936,764,6305,764,764,5478,
435,533936,764,6305,764,765,4551,
436,533936,764,6676,765,765,4551,
437,533936,764,6676,765,764,5478,
438,533936,820,5150,5177,5177,5154,
439,533936,859,4338,859,859,5611,
440,533936,859,4837,859,859,4831,
441,533936,859,4837,859,859,5611,
442,533936,859,4837,859,859,4338,
443,533936,1282,1286,1282,1282,3355,
444,533936,1282,1286,1282,1282,5585,
445,533936,1282,1286,1282,6291,1283,
446,533936,1282,6042,6291,6291,1283,
447,533936,1282,6042,6291,6291,6180,
448,533936,1282,6042,6291,1282,3355,
449,533936,1349,169,1349,1349,1345,
450,533936,1349,1347,1349,1349,2443,
451,533936,1387,2455,1388,1388,1382,
452,533936,1431,2692,1431,2614,755,
453,533936,1431,2692,1431,1431,1429,
454,533936,1431,2692,1431,1431,1432,
