,Unnamed: 0,meshcode,nodeno,vflg,zuflg,nextflg,zahyocnt,keido1,ido1,keido2,ido2,keido3,ido3,keido4,ido4,keido5,ido5,geometry
16,16,533936,88,1,0,1,12,139.760205,35.65463527777778,139.76020416666665,35.65450861111111,139.7602038888889,35.65446222222222,139.76020416666665,35.654406944444446,139.7602036111111,35.654340833333336,
17,17,533936,88,1,0,2,12,139.7602036111111,35.65426083333333,139.76020277777778,35.65421583333333,139.76020444444444,35.65412444444444,139.7602138888889,35.65401527777778,139.76022361111112,35.653893333333336,
18,18,533936,88,1,0,3,12,139.76023111111112,35.653796666666665,139.76023555555557,35.65374472222222,0.0,0.0,0.0,0.0,0.0,0.0,
19,19,533936,89,0,0,1,11,139.767375,35.66674666666667,139.76739583333332,35.666784166666666,139.76741583333333,35.666825555555555,139.76743166666665,35.666870277777775,139.76744333333335,35.666914722222224,
20,20,533936,89,0,0,2,11,139.76745305555556,35.666959166666665,139.7674986111111,35.66723277777778,139.76751055555556,35.667321111111114,139.7675175,35.667364166666665,139.7675272222222,35.667411944444446,
21,21,533936,89,0,0,3,11,139.76754722222222,35.66748166666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
22,22,533936,90,1,0,0,2,139.75869333333333,35.6496375,139.75827,35.64881277777778,0.0,0.0,0.0,0.0,0.0,0.0,
23,23,533936,91,1,0,0,5,139.75896333333333,35.65051833333333,139.75908944444444,35.65076694444444,139.75925972222223,35.65110166666667,139.75937416666667,35.651333055555554,139.7593838888889,35.65135166666666,
24,24,533936,92,0,0,1,6,139.75781416666666,35.65273611111111,139.757705,35.652744722222224,139.757595,35.65275416666667,139.75743194444445,35.652767777777775,139.75723277777777,35.65278333333333,
25,25,533936,92,0,0,2,6,139.75709694444444,35.652792222222224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
26,26,533936,93,0,0,0,5,139.83673833333333,35.64741166666666,139.8364836111111,35.647396111111114,139.83620583333334,35.647371944444444,139.83566055555556,35.6473175,139.83535527777778,35.6472875,
27,27,533936,95,0,0,0,4,139.83434222222223,35.647483055555554,139.83484027777777,35.647529722222224,139.83544361111112,35.64758722222222,139.83599083333334,35.6476425,0.0,0.0,
28,28,533936,99,1,0,0,5,139.85814,35.646076666666666,139.85787222222223,35.64613555555555,139.85760194444444,35.64618888888889,139.85728083333333,35.64624527777778,139.8570625,35.646278333333335,
29,29,533936,100,0,1,0,4,139.8720261111111,35.64107833333333,139.87178555555556,35.64116694444444,139.871485,35.64127777777778,139.87075083333335,35.64154694444444,0.0,0.0,
30,30,533936,101,1,0,0,4,139.85876611111112,35.64615833333333,139.85911305555555,35.64605666666667,139.85942222222224,35.64595805555555,139.8598063888889,35.64584027777778,0.0,0.0,
31,31,533936,102,0,1,0,4,139.87097222222224,35.64171833333333,139.87142138888888,35.641553333333334,139.87187944444443,35.64138583333333,139.872735,35.64107166666667,0.0,0.0,
32,32,533936,104,0,0,0,5,139.82348666666667,35.64644277777778,139.82369027777779,35.646458611111115,139.82402055555556,35.64648972222222,139.82467888888888,35.64655305555556,139.8249847222222,35.64658416666666,
33,33,533936,105,0,0,0,4,139.8251463888889,35.64630888888889,139.82475694444443,35.646272777777774,139.82416083333334,35.646215833333336,139.82360805555555,35.64616222222222,0.0,0.0,
34,34,533936,106,0,0,0,4,139.75154083333334,35.635577222222224,139.7513563888889,35.63525166666667,139.75121222222222,35.63500722222222,139.7511536111111,35.63489722222222,0.0,0.0,
35,35,533936,221,0,0,1,10,139.80571416666666,35.662666944444446,139.805825,35.662463055555556,139.80591944444444,35.662303888888886,139.80604472222223,35.662104444444445,139.80616833333335,35.66190527777778,
36,36,533936,221,0,0,2,10,139.80626777777778,35.66174361111111,139.80636777777778,35.66158194444444,139.80646416666667,35.66142027777778,139.8065588888889,35.66126,139.8066075,35.66117527777778,
37,37,533936,223,0,0,0,4,139.80890805555555,35.65793583333333,139.80867055555555,35.6581825,139.80835555555555,35.65850861111111,139.8080961111111,35.65877777777778,0.0,0.0,
38,38,533936,411,1,0,0,4,139.82153166666666,35.64599166666667,139.821105,35.64594916666667,139.82061083333335,35.64590111111111,139.8204127777778,35.64587972222222,0.0,0.0,
39,39,533936,412,1,0,0,4,139.8053375,35.641758333333335,139.80480472222223,35.64158833333333,139.80444777777777,35.64147027777778,139.8043052777778,35.641421666666666,0.0,0.0,
40,40,533936,770,0,0,0,3,139.760055,35.6678725,139.7605461111111,35.66771194444444,139.76109833333334,35.66753138888889,0.0,0.0,0.0,0.0,
41,41,533936,775,0,0,1,10,139.8003525,35.63977833333333,139.800265,35.63973277777778,139.80012277777777,35.63965916666667,139.79993166666668,35.639559722222224,139.7996122222222,35.6393875,
42,42,533936,775,0,0,2,10,139.79942777777777,35.639291666666665,139.79919777777778,35.63916444444445,139.79900972222222,35.63906305555555,139.79887333333335,35.63898861111111,139.79866416666667,35.63887611111111,
43,43,533936,787,0,0,0,3,139.77061666666665,35.62294333333333,139.77003611111112,35.62248972222222,139.7693675,35.62197944444444,0.0,0.0,0.0,0.0,
44,44,533936,789,0,0,0,3,139.75450694444444,35.64138527777778,139.754295,35.640967777777774,139.75415555555554,35.6406975,0.0,0.0,0.0,0.0,
45,45,533936,3442,0,0,0,5,139.8121125,35.648512777777775,139.81214527777777,35.64832444444444,139.81219416666667,35.64805611111111,139.81227333333334,35.64765666666667,139.81241166666666,35.64696277777778,
46,46,533936,3479,1,0,1,8,139.75834722222223,35.64931722222222,139.75843666666665,35.649481944444446,139.75854722222223,35.649695,139.75863,35.649861666666666,139.75867083333333,35.64994138888889,
47,47,533936,3479,1,0,2,8,139.75871361111112,35.65002583333333,139.75875527777777,35.65010916666667,139.7587761111111,35.65014861111111,0.0,0.0,0.0,0.0,
48,48,533936,3480,1,0,0,5,139.75796416666665,35.64821722222222,139.75785944444445,35.64801333333333,139.75769,35.64768138888889,139.75759916666667,35.64749777777778,139.75754833333335,35.64739055555555,
49,49,533936,3481,0,0,1,15,139.77681583333333,35.627299444444446,139.77685694444443,35.627320555555556,139.77690305555555,35.627345,139.77694944444445,35.62737111111111,139.77699611111112,35.62739611111111,
50,50,533936,3481,0,0,2,15,139.77708694444445,35.627445,139.7771775,35.627493888888885,139.77726972222223,35.62754555555556,139.77741055555555,35.62762111111111,139.7775488888889,35.627695833333334,
51,51,533936,3481,0,0,3,15,139.7776861111111,35.62776972222222,139.77777777777777,35.62782055555556,139.77791555555555,35.62789444444444,139.77805388888888,35.62796916666667,139.77826472222222,35.62808444444445,
52,52,533936,3482,0,0,0,4,139.7794047222222,35.62842222222222,139.7788975,35.62814888888889,139.77853027777778,35.62794888888889,139.77720805555555,35.62723444444445,0.0,0.0,
53,53,533936,3484,0,0,1,12,139.78203416666668,35.63288416666666,139.7819252777778,35.63299027777778,139.78182027777777,35.633096944444446,139.78171666666665,35.633203611111114,139.78158027777778,35.63334583333334,
54,54,533936,3484,0,0,2,12,139.7814475,35.63348916666666,139.7812825,35.633674166666665,139.78115472222223,35.63382166666667,139.78106111111111,35.63393166666667,139.78096666666667,35.63404527777778,
55,55,533936,3484,0,0,3,12,139.78084611111112,35.63419388888889,139.78077416666667,35.634282222222225,0.0,0.0,0.0,0.0,0.0,0.0,
56,56,533936,3485,0,0,1,10,139.7896575,35.633987222222224,139.7895838888889,35.633946944444446,139.789445,35.633871944444444,139.78928333333334,35.633785277777775,139.789105,35.63368916666667,
57,57,533936,3485,0,0,2,10,139.7889536111111,35.633607222222224,139.7887352777778,35.63348916666666,139.78855,35.63338916666667,139.78827333333334,35.63323805555556,139.7881361111111,35.633163055555556,
58,58,533936,3486,0,0,1,11,139.78077638888888,35.63442972222222,139.78088722222222,35.634298888888885,139.78098333333332,35.6341875,139.78107722222222,35.634078333333335,139.78120638888888,35.63393138888889,
59,59,533936,3486,0,0,2,11,139.78133805555555,35.633785,139.7814386111111,35.63367972222222,139.78161111111112,35.63350222222222,139.78175,35.633360555555555,139.78189361111112,35.63322361111111,
60,60,533936,3486,0,0,3,11,139.7821725,35.63297361111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
61,61,533936,3487,1,0,1,10,139.7878413888889,35.63328472222222,139.78792638888888,35.63332916666667,139.78801805555557,35.633379444444444,139.78816,35.63345555555556,139.788245,35.63350194444445,
62,62,533936,3487,1,0,2,10,139.7883838888889,35.63357694444444,139.7884411111111,35.633608611111114,139.78857916666666,35.63368305555556,139.7887163888889,35.63375805555555,139.78876277777778,35.633783333333334,
63,63,533936,3496,0,0,0,5,139.81235416666667,35.64666861111111,139.8122825,35.64702388888889,139.81221027777778,35.64738111111111,139.81213916666667,35.647735555555556,139.81206777777777,35.648114166666666,
64,64,533936,3498,1,0,0,4,139.82039416666666,35.646118333333334,139.82077972222223,35.64615,139.82121944444444,35.64619138888889,139.8215113888889,35.64622027777778,0.0,0.0,
65,65,533936,3499,1,0,0,3,139.84500305555557,35.64729,139.84569861111112,35.64725222222222,139.84611666666666,35.64722888888889,0.0,0.0,0.0,0.0,
66,66,533936,3500,0,0,1,7,139.8508938888889,35.65233388888889,139.85091777777777,35.65273611111111,139.85093777777777,35.653054166666664,139.85095083333334,35.65323472222222,139.85098,35.653681666666664,
67,67,533936,3500,0,0,2,7,139.8510025,35.653998055555554,139.85101166666666,35.654131666666665,0.0,0.0,0.0,0.0,0.0,0.0,
68,68,533936,3501,1,0,1,10,139.8458913888889,35.64701222222222,139.845715,35.64702361111111,139.8455811111111,35.64703194444444,139.84547333333333,35.647039444444445,139.84539694444445,35.64704472222222,
69,69,533936,3501,1,0,2,10,139.8452875,35.64705166666667,139.84513972222223,35.647061666666666,139.84499472222222,35.64707138888889,139.84486333333334,35.647080277777775,139.8447811111111,35.647085,
70,70,533936,3502,1,0,0,4,139.85604583333333,35.646389722222224,139.85558083333333,35.64642111111111,139.8551961111111,35.64644583333333,139.85494472222223,35.64646027777778,0.0,0.0,
71,71,533936,3503,1,0,1,7,139.85496972222222,35.6466925,139.8552011111111,35.64667611111111,139.85542416666667,35.646661944444446,139.85558805555556,35.64665277777778,139.85581055555556,35.646638055555556,
72,72,533936,3503,1,0,2,7,139.85603555555556,35.64662194444445,139.85607972222223,35.64661861111111,0.0,0.0,0.0,0.0,0.0,0.0,
73,73,533936,3504,0,0,1,6,139.85090555555556,35.65126222222222,139.85088416666667,35.65097027777778,139.8508686111111,35.65074666666667,139.85084361111112,35.65038638888889,139.85081805555555,35.65002444444445,
74,74,533936,3504,0,0,2,6,139.85078916666666,35.649594722222226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
75,75,533936,3509,1,0,1,9,139.8045752777778,35.64176861111111,139.80473416666666,35.641820555555555,139.80494694444445,35.641890277777776,139.80502833333333,35.64191833333334,139.80518138888888,35.64196888888889,
76,76,533936,3509,1,0,2,9,139.8052825,35.642001666666665,139.80543111111112,35.642049166666666,139.80556,35.642091388888886,139.8056061111111,35.64210694444444,0.0,0.0,
77,77,533936,3554,0,0,1,11,139.77001944444444,35.634793055555555,139.7697986111111,35.634769722222224,139.76963388888888,35.63475972222222,139.7694138888889,35.63475361111111,139.76919138888888,35.63475777777778,
78,78,533936,3554,0,0,2,11,139.76902527777779,35.6347675,139.76886027777778,35.6347825,139.7686961111111,35.63480333333333,139.76853555555556,35.63482805555556,139.76837194444445,35.634860555555555,
79,79,533936,3554,0,0,3,11,139.7681372222222,35.634915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
80,80,533936,3555,0,0,0,4,139.75767,35.64296972222222,139.75767083333332,35.64309194444444,139.75766777777778,35.643318055555554,139.75766444444446,35.643438055555556,0.0,0.0,
81,81,533936,3588,0,0,1,18,139.76805694444445,35.63510388888889,139.76813027777777,35.635084166666665,139.7681836111111,35.63507027777778,139.76828694444444,35.63504416666667,139.76844472222223,35.63500722222222,
