,meshcode,nodeno,symcode,realx,realy,geometry
369,513244,2144,710201,477116786,123722792,
370,513244,2145,711716,477115927,123724491,
371,513244,2145,711000,477114986,123725291,
372,513244,2145,710500,477117563,123726424,
373,513244,2146,719999,477098953,123660499,
374,513244,2173,719999,477033662,123900605,
375,513244,2275,710400,477014238,123716724,
376,513244,2280,719999,477045975,123852577,
377,513244,2554,719999,477243100,123817850,
378,513244,3074,719999,477002781,123787483,
379,513244,3074,710116,477004827,123787283,
380,513244,3106,711400,477106069,123742555,
381,513244,3108,719999,476996893,123724756,
382,513244,3125,719999,477137157,123720025,
383,513244,3128,719999,477024871,123769918,
384,513244,3128,710421,477025076,123769185,
385,513244,3128,711600,477023889,123769685,
386,513244,3161,719999,477150410,123725824,
387,513244,3161,710116,477150287,123724358,
388,513244,3162,719999,477158550,123729691,
389,513244,3162,710421,477157077,123730657,
390,513244,3166,719999,477168940,123734623,
391,513244,3167,719999,477176507,123738656,
392,513244,3168,719999,477182438,123742722,
393,513244,3172,711900,477028590,123879474,
394,513244,3367,719999,477150328,123726624,
395,513244,3367,710116,477150328,123724258,
396,513244,3370,719999,477175934,123738890,
397,513244,3372,719999,477158550,123730491,
398,513244,3372,710421,477157077,123730657,
399,513244,3373,719999,477181211,123743322,
400,513244,3477,719999,477070075,123683562,
401,513244,3481,719999,477003680,123840743,
402,513244,3511,711900,477140102,123719792,
403,513244,3691,719999,477145627,123619938,
404,513244,3723,710600,477032516,123894439,
405,513244,3723,711600,477031371,123892339,
406,513244,3723,711900,477032230,123891839,
407,513244,3723,719999,477030675,123892573,
408,513244,3932,710400,477014115,123716491,
409,513244,4328,711900,477142270,123707194,
410,513244,4328,719999,477141084,123707594,
411,513244,4328,711400,477142147,123708127,
412,513244,4360,719999,477195569,123767552,
413,513244,4465,711900,477045485,123836979,
414,513244,4916,719999,477120427,123718058,
415,513244,4916,710295,477119731,123718958,
416,513244,4916,710235,477121940,123715326,
417,513244,5023,719999,477181088,123757220,
418,513244,5257,711100,477139407,123719058,
419,513244,5258,711600,477128648,123714859,
420,513244,5397,719999,477121081,123717758,
421,513244,5397,710295,477119690,123718958,
422,513244,5397,710235,477122022,123715326,
423,513244,6000,719999,477105458,123662832,
424,513244,6019,719999,477038990,123621237,
425,513244,6019,712210,477038499,123619437,
426,513244,6019,710105,477036617,123624136,
427,513244,6019,710900,477034285,123619504,
428,513244,6020,719999,477035922,123628103,
429,513244,6020,711000,477035062,123626369,
430,513244,6020,710105,477036617,123624136,
431,513244,6020,710320,477036944,123627836,
432,513244,6584,711500,477029623,123627902,
433,513244,6585,711701,477028599,123635234,
434,513244,6585,719999,477032567,123634502,
435,513244,6619,719999,477012518,123767218,
436,513244,6619,711900,477013704,123765951,
437,513244,6628,711712,477049092,123628736,
438,513244,6678,710210,476992268,123829378,
439,513244,6678,719999,476992922,123828511,
440,513244,7002,719999,477007157,123821913,
441,513244,7002,710700,477002044,123820713,
442,513244,7055,719999,477007853,123821913,
443,513244,7055,710700,477002535,123820546,
444,513244,7083,719999,476998813,123809714,
445,513244,7083,711900,476998445,123810447,
446,513244,7083,711400,476997013,123811246,
447,513244,7256,711900,477031047,123768018,
448,513244,7256,711500,477030352,123769351,
449,513244,7412,719999,477123045,123700228,
450,513244,7412,711914,477124149,123701927,
451,513244,7412,711900,477125049,123699361,
452,513244,7412,710551,477124518,123696928,
453,513244,7412,710321,477121654,123702460,
454,513244,7412,710116,477121572,123703627,
455,513244,7758,710600,477250790,123828083,
456,513244,7758,711722,477250585,123827249,
457,513244,7961,719999,477012967,123810447,
458,513244,7983,719999,477255944,123823849,
459,513244,8054,719999,476998407,123714624,
460,513244,8155,710438,477109587,123736756,
461,513244,8216,719999,477137812,123698428,
462,513244,8216,710428,477137567,123700495,
463,513244,8294,719999,477010388,123849810,
464,513244,8346,712210,477022744,123755820,
465,513244,8364,712210,477022744,123755787,
466,513244,8370,719999,477005480,123831944,
467,513244,8370,710600,477002698,123832678,
468,513244,8388,719999,477005971,123832178,
469,513244,8388,710600,477002739,123832778,
470,513244,8402,719999,476999263,123809547,
471,513244,8402,711900,476998445,123810447,
472,513244,8402,711400,476997013,123811246,
473,513244,8417,719999,476994887,123790116,
474,513244,8444,719999,476994355,123790149,
