,meshcode,tnodeno,snodeno,enodeno,tlanesu,lanesu,hodo,sokusen,high,laneno,klanecd,flanecd,ysnodeno,yenodeno,geometry
205,513244,140,140,5331,1,1,2,2,2,0,0,0,0,0,
206,513244,140,5284,140,3,2,1,1,2,1,1,2,140,117,
207,513244,140,5284,140,3,2,1,1,2,1,1,2,140,5331,
208,513244,140,5284,140,3,2,1,1,2,2,1,2,140,117,
209,513244,140,5284,140,3,2,1,1,2,3,1,1,140,5286,
210,513244,140,5286,140,2,1,1,1,2,1,1,2,140,5284,
211,513244,140,5286,140,2,1,1,1,2,1,1,2,140,5331,
212,513244,140,5286,140,2,1,1,1,2,2,1,1,140,117,
213,513244,140,5331,140,1,1,1,2,2,1,3,2,0,0,
214,513244,141,141,5284,1,1,1,1,2,0,0,0,0,0,
215,513244,141,141,5409,1,1,1,2,2,0,0,0,0,0,
216,513244,141,141,5410,1,1,2,1,2,0,0,0,0,0,
217,513244,141,141,6656,1,1,1,2,2,0,0,0,0,0,
218,513244,141,5284,141,1,1,1,1,2,1,1,2,0,0,
219,513244,141,5409,141,1,1,1,2,2,1,1,2,0,0,
220,513244,141,5410,141,1,1,2,1,2,1,3,2,0,0,
221,513244,141,6656,141,2,2,1,2,2,1,1,2,0,0,
222,513244,141,6656,141,2,2,1,2,2,2,1,2,0,0,
223,513244,142,142,143,2,2,2,1,2,0,0,0,0,0,
224,513244,142,156,142,1,1,2,1,2,1,1,2,0,0,
225,513244,142,6702,142,1,1,2,1,2,1,1,2,0,0,
226,513244,145,145,6712,2,2,2,1,2,0,0,0,0,0,
227,513244,145,145,6743,1,1,2,1,1,0,0,0,0,0,
228,513244,145,145,7640,2,2,1,1,2,0,0,0,0,0,
229,513244,145,6712,145,2,2,1,1,2,1,1,2,0,0,
230,513244,145,6712,145,2,2,1,1,2,2,1,2,0,0,
231,513244,145,7640,145,2,2,1,1,2,1,1,2,0,0,
232,513244,145,7640,145,2,2,1,1,2,2,1,2,0,0,
233,513244,146,105,146,2,2,1,2,2,1,1,2,146,4320,
234,513244,146,105,146,2,2,1,2,2,1,1,2,146,6587,
235,513244,146,105,146,2,2,1,2,2,2,1,2,146,4320,
236,513244,146,146,105,2,2,1,1,2,0,0,0,0,0,
237,513244,146,146,4320,2,2,1,1,2,0,0,0,0,0,
238,513244,146,146,6587,1,1,1,2,2,0,0,0,0,0,
239,513244,146,4320,146,3,2,1,2,2,1,1,2,146,105,
240,513244,146,4320,146,3,2,1,2,2,2,1,2,146,105,
241,513244,146,4320,146,3,2,1,2,2,3,1,1,146,6587,
242,513244,146,6587,146,2,2,1,2,2,1,1,2,146,4320,
243,513244,146,6587,146,2,2,1,2,2,2,1,2,146,105,
244,513244,147,147,3609,1,1,2,2,2,0,0,0,0,0,
245,513244,147,147,5367,2,2,1,1,2,0,0,0,0,0,
246,513244,147,147,6659,1,1,1,2,2,0,0,0,0,0,
247,513244,147,147,7892,2,2,1,1,2,0,0,0,0,0,
248,513244,147,3609,147,1,1,2,2,2,1,3,2,0,0,
249,513244,147,5367,147,3,2,1,1,2,1,1,2,147,7892,
250,513244,147,5367,147,3,2,1,1,2,1,1,2,147,6659,
251,513244,147,5367,147,3,2,1,1,2,2,1,2,147,7892,
252,513244,147,5367,147,3,2,1,1,2,3,1,1,147,3609,
253,513244,147,6659,147,2,1,1,2,2,1,1,1,147,7892,
254,513244,147,6659,147,2,1,1,2,2,2,1,2,147,3609,
255,513244,147,6659,147,2,1,1,2,2,2,1,2,147,5367,
256,513244,147,7892,147,3,2,1,1,2,1,1,2,147,3609,
257,513244,147,7892,147,3,2,1,1,2,1,1,2,147,5367,
258,513244,147,7892,147,3,2,1,1,2,2,1,2,147,5367,
259,513244,147,7892,147,3,2,1,1,2,3,1,1,147,6659,
260,513244,148,148,7416,1,1,1,2,2,0,0,0,0,0,
261,513244,148,148,7624,2,2,1,1,2,0,0,0,0,0,
262,513244,148,180,7412,2,2,1,1,2,1,1,2,0,0,
263,513244,148,180,7412,2,2,1,1,2,2,1,2,0,0,
264,513244,148,7412,180,2,2,1,1,2,0,0,0,0,0,
265,513244,148,7509,7412,1,1,1,2,2,1,1,2,0,0,
266,513244,148,7624,148,3,2,1,1,2,1,1,1,148,7416,
267,513244,148,7624,148,3,2,1,1,2,2,1,2,0,0,
268,513244,148,7624,148,3,2,1,1,2,3,1,2,0,0,
269,513244,152,152,3153,1,1,1,1,2,0,0,0,0,0,
270,513244,152,152,3154,1,1,2,2,2,0,0,0,0,0,
271,513244,152,152,3632,1,1,1,1,2,0,0,0,0,0,
272,513244,152,1653,2900,1,1,1,1,2,0,0,0,0,0,
273,513244,152,1653,3154,1,1,2,1,2,0,0,0,0,0,
274,513244,152,2900,1653,2,1,1,1,2,1,1,2,152,3632,
275,513244,152,2900,1653,2,1,1,1,2,1,1,2,152,3153,
276,513244,152,2900,1653,2,1,1,1,2,2,1,1,1653,3154,
277,513244,152,3153,152,2,1,1,1,2,1,1,2,152,3154,
278,513244,152,3153,152,2,1,1,1,2,1,1,2,1653,2900,
279,513244,152,3153,152,2,1,1,1,2,2,1,1,152,3632,
280,513244,152,3154,152,1,1,2,1,2,1,3,2,0,0,
281,513244,152,3154,1653,1,1,2,1,2,1,3,2,0,0,
282,513244,152,3632,152,2,2,1,1,2,1,1,2,152,3153,
283,513244,152,3632,152,2,2,1,1,2,1,1,2,152,3154,
284,513244,152,3632,152,2,2,1,1,2,2,1,2,1653,2900,
285,513244,156,156,142,1,1,2,1,2,0,0,0,0,0,
286,513244,156,156,1249,1,1,2,1,1,0,0,0,0,0,
287,513244,156,6635,156,1,1,1,1,2,1,1,2,0,0,
288,513244,158,158,159,2,2,1,1,2,0,0,0,0,0,
289,513244,158,158,671,1,1,1,1,2,0,0,0,0,0,
