,meshcode,linkno,snodeno,enodeno,day,shour,ehour,sdate,edate,cartype,geometry
410,513244,8588,7199,5402,100000000,0000,2400,0101,1231,0,
411,513244,8611,7192,3229,100000000,0000,2400,0101,1231,0,
412,513244,8612,7214,7207,100000000,0000,2400,0101,1231,0,
413,513244,8618,7044,7207,100000000,0000,2400,0101,1231,0,
414,513244,8620,7185,7192,100000000,0000,2400,0101,1231,0,
415,513244,8622,7207,7109,100000000,0000,2400,0101,1231,0,
416,513244,8625,7136,1874,100000000,0700,2200,0101,1231,0,
417,513244,8627,335,7185,100000000,0000,2400,0101,1231,0,
418,513244,8632,7109,7218,100000000,0000,2400,0101,1231,0,
419,513244,8638,7218,8423,100000000,0000,2400,0101,1231,0,
420,513244,8641,7023,7215,100000000,0000,2400,0101,1231,0,
421,513244,8645,7215,3515,100000000,0000,2400,0101,1231,0,
422,513244,8660,8453,8452,100000000,0000,2400,0101,1231,0,
423,513244,8790,6760,7262,100000000,0000,2400,0101,1231,0,
424,513244,8854,3167,7323,100000000,0000,2400,0101,1231,0,
425,513244,8868,5461,7335,100000000,0000,2400,0101,1231,0,
426,513244,8877,197,7246,011111100,0740,0900,0101,1231,0,
427,513244,8878,7246,1204,011111100,0740,0900,0101,1231,0,
428,513244,8882,3720,3718,100000000,0000,2400,0101,1231,0,
429,513244,8997,7416,7414,100000000,0000,2400,0101,1231,0,
430,513244,8999,148,7416,100000000,0000,2400,0101,1231,0,
431,513244,9098,5979,7487,100000000,0000,2400,0101,1231,0,
432,513244,9119,7414,7509,100000000,0000,2400,0101,1231,0,
433,513244,9121,7509,7412,100000000,0000,2400,0101,1231,0,
434,513244,9138,361,7455,100000000,0000,2400,0101,1231,0,
435,513244,9139,7455,3477,100000000,0000,2400,0101,1231,0,
436,513244,9140,7457,300,100000000,0000,2400,0101,1231,0,
437,513244,9141,299,7457,100000000,0000,2400,0101,1231,0,
438,513244,9144,7461,6623,100000000,0000,2400,0101,1231,0,
439,513244,9146,3477,7461,100000000,0000,2400,0101,1231,0,
440,513244,9148,3476,7459,100000000,0000,2400,0101,1231,0,
441,513244,9150,7459,299,100000000,0000,2400,0101,1231,0,
442,513244,9182,7486,2895,100000000,0700,0900,0101,1231,0,
443,513244,9226,5041,7531,100000000,0000,2400,0101,1231,0,
444,513244,9234,7531,3168,100000000,0000,2400,0101,1231,0,
445,513244,9252,7553,1467,100000000,0000,2400,0101,1231,0,
446,513244,9312,2243,1109,100000000,0000,2400,0101,1231,0,
447,513244,9337,7575,8402,100000000,0000,2400,0101,1231,0,
448,513244,9366,7790,7994,100000000,0000,2400,0101,1231,0,
449,513244,9384,3491,7817,100000000,0000,2400,0101,1231,0,
450,513244,9387,3120,7821,100000000,0000,2400,0101,1231,0,
451,513244,9391,7829,8017,100000000,0000,2400,0101,1231,0,
452,513244,9418,2100,7867,100000000,0000,2400,0101,1231,0,
453,513244,9425,7879,5458,100000000,0000,2400,0101,1231,0,
454,513244,9426,7880,8043,100000000,0000,2400,0101,1231,0,
455,513244,9427,5459,8042,100000000,0000,2400,0101,1231,0,
456,513244,9428,5458,7881,100000000,0000,2400,0101,1231,0,
457,513244,9435,240,7621,100000000,0000,2400,0101,1231,0,
458,513244,9436,7891,7622,100000000,0000,2400,0101,1231,0,
459,513244,9437,7646,180,100000000,0000,2400,0101,1231,0,
460,513244,9452,6016,7646,100000000,0000,2400,0101,1231,0,
461,513244,9453,7911,7647,100000000,0000,2400,0101,1231,0,
462,513244,9457,7910,7649,100000000,0000,2400,0101,1231,0,
463,513244,9467,2387,7918,100000000,0700,0830,0101,1231,0,
464,513244,9474,7647,6012,100000000,0000,2400,0101,1231,0,
465,513244,9476,6058,8226,100000000,0000,2400,0101,1231,0,
466,513244,9478,7262,7674,100000000,0000,2400,0101,1231,0,
467,513244,9481,7945,7681,100000000,0000,2400,0101,1231,0,
468,513244,9487,2798,7689,100000000,0000,2400,0101,1231,0,
469,513244,9488,7674,7319,100000000,0000,2400,0101,1231,0,
470,513244,9519,8441,6932,100000000,0000,2400,0101,1231,0,
471,513244,9549,7995,7997,100000000,0000,2400,0101,1231,0,
472,513244,9551,3497,8120,100000000,0000,2400,0101,1231,0,
473,513244,9563,8013,3474,100000000,0000,2400,0101,1231,0,
